,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
580,8480037,2022,Aleksi Heponiemi,FLA,C,all,10,8.59,4.76,0.79,0.42,1,1,8,3,1,1,1,1,2,2,1,1,2,4,0,0.13,0.66,0.0,0,1,0,6,3rd line
581,8471274,2022,Alex Goligoski,MIN,D,all,46,17.67,53.79,2.35,2.99,2,2,116,6,2,2,0,9,16,33,9,17,70,3,2,1.4,0.42,0.53,0,1,1,75,2nd pair
582,8475799,2022,Nino Niederreiter,WPG,R,all,78,16.29,173.14,24.46,14.57,8,9,302,41,24,14,6,10,22,165,33,22,124,80,31,4.47,10.05,9.95,8,7,9,235,2nd line
583,8480058,2022,Pierre-Olivier Joseph,PIT,D,all,75,15.25,94.98,3.62,5.4,9,7,221,21,5,6,0,21,44,88,38,33,131,7,0,2.76,0.85,0.0,5,0,0,138,3rd pair
584,8479972,2022,Mason Shaw,MIN,C,all,59,11.29,84.85,6.85,5.14,5,5,153,17,7,5,1,18,59,87,17,18,91,15,8,2.19,2.04,2.62,3,2,2,114,3rd line
585,8479316,2022,Luke Kunin,SJS,C,all,31,15.43,60.97,7.33,4.23,5,3,99,13,5,7,1,13,32,63,12,6,52,23,8,1.64,2.63,3.07,1,2,2,83,2nd line
586,8477986,2022,Brandon Montour,FLA,D,all,80,24.13,237.1,16.92,16.27,26,31,459,73,16,23,4,28,57,92,33,52,298,25,16,7.23,3.01,6.69,7,5,4,339,1st pair
587,8477070,2022,Liam O'Brien,ARI,C,all,56,11.43,39.99,4.59,2.53,5,3,74,11,3,3,0,29,84,203,6,20,37,13,6,1.18,1.58,1.83,2,0,1,56,3rd line
588,8481601,2022,Simon Holmstrom,NYI,R,all,50,11.1,43.29,4.29,2.83,1,2,77,9,6,8,2,0,0,9,21,13,42,15,2,1.64,2.0,0.65,1,4,1,59,3rd line
589,8478967,2022,Lane Pederson,CBJ,C,all,27,11.93,27.2,3.82,2.12,3,0,45,6,3,3,1,10,26,68,5,4,18,13,5,0.63,1.63,1.56,0,2,1,36,3rd line
590,8483619,2022,Filip Roos,CHI,D,all,17,16.22,18.6,0.74,1.04,0,2,43,3,1,3,1,2,4,14,4,10,25,1,1,0.39,0.12,0.23,0,0,1,27,3rd pair
591,8478043,2022,Sam Lafferty,TOR,C,all,70,14.61,100.71,11.28,6.42,8,7,164,27,12,7,1,13,37,125,27,34,94,29,12,2.75,3.98,4.55,4,8,0,135,2nd line
592,8480813,2022,Joe Veleno,DET,C,all,81,12.78,77.66,8.31,5.46,6,5,146,20,9,4,1,15,30,152,30,17,71,26,8,2.54,3.17,2.59,4,3,2,105,3rd line
593,8475766,2022,Austin Watson,OTT,L,all,75,10.23,83.28,8.38,5.22,1,1,139,11,9,7,1,27,93,165,19,21,82,25,8,2.31,3.15,2.91,2,3,4,115,3rd line
594,8482245,2022,Artem Zub,OTT,D,all,53,20.25,43.2,2.4,2.58,1,6,109,10,3,6,1,18,39,131,8,31,59,1,3,1.21,0.11,1.08,1,0,2,63,1st pair
595,8477962,2022,Brendan Lemieux,PHI,L,all,45,10.18,42.74,4.17,3.0,5,2,79,9,2,5,0,23,64,131,6,6,40,14,4,1.26,1.74,1.17,1,0,1,58,3rd line
596,8480071,2022,Robin Salo,NYI,D,all,11,11.18,6.21,0.26,0.4,1,1,19,4,2,1,0,2,4,6,1,6,9,1,0,0.18,0.09,0.0,2,0,0,10,3rd pair
597,8476874,2022,Olli Maatta,DET,D,all,78,18.71,64.41,2.83,3.56,8,9,137,23,6,3,0,7,14,78,23,38,87,4,1,1.72,0.55,0.56,3,2,1,92,2nd pair
598,8479458,2022,Nikita Zaitsev,CHI,D,all,46,16.46,23.46,0.59,1.27,3,4,50,8,1,4,0,10,20,95,7,23,35,0,0,0.59,0.0,0.0,1,0,0,35,3rd pair
599,8475747,2022,Patrik Nemeth,ARI,D,all,75,17.77,64.13,2.32,3.6,2,3,139,5,0,5,0,15,30,116,13,30,90,4,0,1.91,0.41,0.0,0,0,0,94,2nd pair
600,8475764,2022,Cam Fowler,ANA,D,all,82,24.17,125.26,8.36,8.69,21,17,294,48,10,12,2,9,14,18,34,48,157,17,7,3.61,2.01,2.74,5,1,4,181,1st pair
601,8475786,2022,Zach Hyman,EDM,L,all,79,20.15,284.62,51.19,24.59,27,20,431,83,36,30,6,18,39,77,33,30,161,141,66,6.44,18.08,26.67,4,12,20,368,1st line
602,8482087,2022,Kaiden Guhle,MTL,D,all,44,20.52,45.95,2.3,2.72,9,5,107,18,4,2,0,12,27,84,23,51,57,8,0,1.46,0.84,0.0,3,1,0,65,1st pair
603,8482655,2022,J.J. Moser,ARI,D,all,82,21.05,89.52,5.48,5.8,8,16,213,31,7,9,0,16,35,80,14,43,116,9,3,3.02,1.16,1.3,4,2,1,128,1st pair
604,8470610,2022,Zach Parise,NYI,L,all,82,16.15,174.84,27.16,14.03,10,3,275,34,21,29,4,12,24,89,18,25,113,68,49,4.23,8.69,14.24,7,6,8,230,2nd line
605,8477244,2022,Chad Ruhwedel,PIT,D,all,47,14.57,40.98,1.87,2.31,1,3,97,5,1,3,0,9,18,90,14,10,55,2,2,1.08,0.25,0.54,1,0,0,59,3rd pair
606,8477938,2022,Haydn Fleury,TBL,D,all,29,12.79,35.63,1.92,2.08,0,1,70,1,0,6,0,2,4,30,3,6,45,4,2,1.0,0.41,0.52,0,0,0,51,3rd pair
607,8479661,2022,Tanner Jeannot,TBL,L,all,76,14.25,113.6,14.95,8.93,6,6,190,18,6,14,4,30,97,290,29,30,82,58,14,3.17,7.56,4.22,0,3,3,154,2nd line
608,8478062,2022,Dysin Mayo,ARI,D,all,15,11.7,8.46,0.51,0.52,0,0,14,0,0,0,0,4,8,30,2,8,11,1,0,0.36,0.14,0.0,0,0,0,12,3rd pair
609,8477406,2022,Mattias Janmark,EDM,C,all,66,14.66,76.72,10.33,5.78,10,5,117,25,10,6,1,15,30,20,27,26,57,34,11,2.06,4.26,4.0,1,6,3,102,2nd line
610,8480027,2022,Jason Robertson,DAL,L,all,82,18.84,299.08,30.92,21.78,39,24,565,109,46,30,8,10,20,57,62,66,301,81,30,9.28,9.66,11.97,16,17,13,412,1st line
611,8477380,2022,Jonny Brodzinski,NYR,C,all,17,9.32,25.63,1.82,1.51,0,1,42,2,1,1,0,4,8,9,6,4,29,5,2,0.85,0.54,0.43,0,0,1,36,3rd line
612,8479379,2022,Givani Smith,FLA,R,all,36,7.0,32.26,2.69,2.08,2,1,60,4,1,4,0,17,52,67,6,6,29,13,1,0.72,1.72,0.25,0,1,0,43,3rd line
613,8478970,2022,Jalen Chatfield,CAR,D,all,78,14.12,101.38,4.9,5.84,5,3,215,14,6,8,0,16,35,78,28,21,134,9,3,2.94,1.15,0.82,5,0,1,146,3rd pair
614,8475168,2022,Matt Duchene,NSH,C,all,71,18.32,176.73,20.49,13.11,18,16,319,56,22,16,3,11,32,27,35,60,154,69,16,6.26,8.13,6.1,5,11,6,239,1st line
615,8476882,2022,Teuvo Teravainen,CAR,L,all,68,16.91,137.67,12.32,9.51,18,7,235,37,12,15,1,8,16,15,36,49,151,31,13,4.72,3.48,4.12,6,2,4,195,1st line
616,8476331,2022,Dylan DeMelo,WPG,D,all,75,19.56,93.1,5.21,5.31,10,11,194,27,6,6,0,25,50,120,20,46,124,8,4,2.46,0.97,1.78,4,1,1,136,2nd pair
617,8473994,2022,Jamie Benn,DAL,L,all,82,15.78,190.28,28.32,14.12,22,23,330,78,33,17,7,14,34,97,55,48,138,74,40,4.22,8.97,15.13,9,10,14,252,2nd line
618,8478401,2022,Pavel Zacha,BOS,C,all,82,16.06,130.41,16.91,9.86,18,18,220,57,21,10,3,8,16,67,31,35,100,62,17,3.55,7.71,5.66,9,7,5,179,2nd line
619,8477495,2022,Seth Jones,CHI,D,all,65,24.42,153.15,8.88,9.68,9,14,299,35,12,14,0,12,26,97,42,60,189,18,8,3.91,2.22,2.75,5,5,2,215,1st pair
620,8480007,2022,Jonas Rondbjerg,VGK,R,all,13,10.17,14.79,0.95,0.85,1,0,24,1,0,1,0,2,4,2,8,1,16,4,0,0.43,0.52,0.0,0,0,0,20,3rd line
621,8477464,2022,Nic Petan,MIN,C,all,10,11.6,8.86,0.66,0.6,1,1,17,3,1,0,1,1,2,4,3,1,9,2,1,0.19,0.21,0.26,0,0,1,12,3rd line
622,8481093,2022,Rafael Harvey-Pinard,MTL,L,all,34,17.23,58.56,10.04,5.14,4,2,98,20,14,4,3,5,10,57,11,17,26,39,13,0.89,4.94,4.21,1,8,5,78,1st line
623,8471698,2022,T.J. Oshie,WSH,R,all,58,16.72,134.93,20.4,10.83,8,8,228,35,19,16,5,20,49,125,44,26,102,57,28,3.58,6.29,10.53,4,8,7,187,1st line
624,8477126,2022,Jayson Megna,ANA,C,all,55,10.0,38.56,4.22,2.93,2,4,64,8,2,3,0,3,6,47,10,6,35,15,3,1.21,2.13,0.89,1,1,0,53,3rd line
