,position,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
526,C,14,8.4,14.65,1.0,1.04,1,1,25,4,2,0,0,1,2,15,2,0,15,6,0,0.31,0.69,0.0,1,1,0,21,3rd line
527,D,16,15.76,15.74,0.75,0.92,1,2,34,3,0,0,0,2,4,4,1,5,20,3,0,0.42,0.33,0.0,0,0,0,23,3rd pair
528,L,35,8.99,35.06,5.7,2.63,1,3,55,7,3,5,1,15,57,92,10,13,21,14,11,0.72,1.65,3.33,1,1,1,46,3rd line
529,C,73,16.37,145.92,16.55,10.03,11,10,261,33,12,11,2,19,43,29,37,41,132,47,17,3.93,6.14,6.48,4,4,4,196,2nd line
530,R,49,12.48,60.74,9.3,4.8,7,2,109,19,10,9,2,5,10,45,16,12,31,35,13,1.09,4.58,3.63,2,6,2,79,3rd line
531,L,81,16.24,155.2,23.96,13.52,14,21,276,74,39,17,3,4,8,13,32,29,113,69,28,4.21,8.71,11.03,6,19,14,210,2nd line
532,C,65,8.89,71.92,8.33,5.86,2,2,119,11,7,6,1,19,62,154,19,15,62,27,11,2.11,3.32,2.9,2,3,2,100,3rd line
533,R,70,19.37,211.16,25.34,16.14,22,16,352,61,23,27,1,11,22,12,43,27,179,82,22,6.92,10.36,8.06,7,12,4,283,1st line
534,C,80,17.66,296.53,45.11,27.16,27,17,464,80,36,40,4,17,34,112,46,54,204,124,64,6.99,15.9,22.23,3,16,17,392,1st line
535,C,81,20.68,222.56,24.64,16.09,37,13,404,82,32,20,4,24,60,200,58,46,224,62,25,6.97,7.4,10.27,11,5,16,311,1st line
536,D,82,23.5,190.42,9.11,11.02,15,16,401,43,12,13,0,28,64,146,41,76,250,19,3,5.87,2.41,0.83,7,4,1,272,1st pair
537,C,14,14.56,22.55,2.85,1.57,2,0,42,6,4,2,2,1,2,4,12,11,23,3,4,0.75,0.32,1.78,1,0,3,30,2nd line
538,C,75,19.5,226.23,32.97,17.88,24,7,377,67,36,28,2,21,42,59,63,63,168,107,36,5.93,13.35,13.69,7,17,12,311,1st line
539,D,23,11.74,15.16,0.37,0.72,1,2,36,4,1,1,0,6,27,55,3,8,22,0,0,0.37,0.0,0.0,1,0,0,22,3rd pair
540,D,62,16.12,70.94,2.6,4.8,13,13,155,29,3,2,0,11,22,19,11,21,100,6,0,1.89,0.72,0.0,3,0,0,106,3rd pair
541,L,68,18.05,122.07,18.32,10.18,21,11,217,47,15,20,7,10,20,40,28,35,82,64,22,2.8,8.17,7.35,2,5,8,168,1st line
542,D,67,16.84,76.47,4.13,4.56,2,7,162,12,3,5,1,26,66,250,3,23,103,7,2,2.52,0.83,0.78,2,0,1,112,3rd pair
543,C,79,18.0,264.9,25.9,17.41,24,12,470,73,37,7,3,12,22,14,54,55,268,71,20,8.75,8.57,8.58,14,14,9,359,1st line
544,L,64,16.78,190.38,23.93,15.76,16,7,298,50,27,23,5,8,16,85,28,18,136,84,25,4.74,11.06,8.14,6,12,9,245,1st line
545,D,20,17.84,13.45,0.42,0.74,1,0,41,2,1,0,0,3,6,27,7,10,19,0,0,0.42,0.0,0.0,1,0,0,19,2nd pair
546,R,30,13.25,51.15,3.66,3.22,4,5,91,13,4,4,0,4,10,27,21,10,57,12,2,1.63,1.55,0.48,1,3,0,71,3rd line
547,C,82,18.41,255.51,26.9,17.14,32,11,438,71,28,19,7,16,32,57,45,65,254,66,29,8.44,7.74,10.72,9,6,13,349,1st line
548,D,82,14.04,82.84,3.7,4.61,8,4,197,16,4,3,3,14,28,101,12,25,113,4,2,2.59,0.45,0.66,2,0,2,119,3rd pair
549,D,42,14.06,33.05,0.85,1.61,0,5,77,6,1,1,0,7,20,63,13,23,46,1,0,0.76,0.08,0.0,1,0,0,47,3rd pair
550,R,33,17.62,82.05,10.48,5.93,6,3,141,22,13,14,1,23,58,97,13,10,66,30,14,1.89,3.53,5.06,1,8,4,110,1st line
551,C,51,17.62,103.04,13.69,7.44,10,6,164,27,11,6,2,8,16,41,31,19,76,41,16,2.45,5.23,6.02,3,4,4,133,1st line
552,C,82,14.17,90.53,10.72,6.61,12,8,158,31,11,8,1,20,58,122,30,33,73,41,9,2.49,5.07,3.16,1,7,3,123,2nd line
553,C,82,17.5,174.76,21.87,14.24,14,10,279,43,19,15,4,20,42,83,35,41,130,80,25,4.78,9.99,7.09,5,8,6,235,1st line
554,D,73,23.98,159.83,9.49,10.21,19,24,335,54,11,16,2,8,16,65,56,52,219,10,7,5.04,1.19,3.26,7,3,1,236,1st pair
555,D,36,19.17,50.6,2.82,3.22,5,5,104,14,4,1,0,8,16,61,12,13,65,4,2,1.63,0.57,0.62,2,1,1,71,2nd pair
556,R,14,10.0,14.62,2.14,0.88,2,2,20,4,0,1,0,3,6,11,7,5,11,7,2,0.43,0.81,0.9,0,0,0,20,3rd line
557,L,28,10.21,31.88,3.73,2.36,3,0,58,4,1,4,0,1,2,32,7,4,29,11,5,0.98,1.4,1.35,0,1,0,45,3rd line
558,D,65,20.12,69.87,1.69,3.21,5,7,163,13,1,8,0,10,21,51,24,34,97,2,0,1.52,0.17,0.0,1,0,0,99,1st pair
559,D,48,22.7,144.4,11.51,8.82,7,17,281,33,9,10,1,15,30,55,18,46,175,21,9,4.81,2.29,4.41,3,3,3,205,1st pair
560,R,82,19.56,397.45,45.36,28.79,31,21,728,113,61,36,3,18,38,91,52,109,373,125,44,12.25,15.39,17.71,27,15,19,542,1st line
561,R,74,19.15,225.38,28.9,14.85,29,14,363,79,36,21,3,10,20,54,64,38,216,58,33,7.31,6.89,14.69,10,11,15,307,1st line
562,R,66,11.42,152.6,13.66,10.37,19,6,280,46,21,16,1,7,14,33,21,21,165,34,12,4.86,4.48,4.32,9,4,8,211,3rd line
563,C,74,20.28,335.05,38.49,26.85,29,16,568,85,40,38,4,10,20,78,68,55,288,127,38,10.78,15.23,12.49,21,9,10,453,1st line
564,D,17,12.8,12.27,0.34,0.64,0,2,22,3,1,0,0,0,0,6,3,5,17,1,0,0.26,0.08,0.0,1,0,0,18,3rd pair
565,C,81,19.02,124.49,19.0,9.85,28,21,203,65,16,14,3,9,26,74,64,30,94,50,21,3.41,6.62,8.97,2,6,8,165,1st line
566,L,15,10.88,26.01,2.41,1.91,0,3,48,5,2,1,0,0,0,18,7,5,28,6,2,1.06,0.86,0.48,0,2,0,36,3rd line
567,C,73,9.08,104.9,8.39,6.55,5,1,178,11,5,13,0,4,8,29,24,10,105,32,7,2.73,3.86,1.8,3,2,0,144,3rd line
568,L,56,10.28,43.06,4.32,2.75,4,4,78,10,2,4,0,8,25,82,8,6,36,18,5,1.02,1.98,1.32,1,1,0,59,3rd line
569,D,72,21.6,67.57,5.93,4.33,1,6,147,11,4,4,0,12,24,129,42,27,79,8,8,1.82,1.06,3.05,2,0,2,95,1st pair
570,L,41,18.7,139.39,15.79,9.6,6,6,258,28,16,15,0,25,53,124,14,32,121,56,13,4.37,6.91,4.51,5,8,3,190,1st line
571,D,80,21.25,88.03,3.34,4.6,2,5,188,13,6,7,0,11,22,180,24,31,121,4,1,2.38,0.36,0.6,5,1,0,126,1st pair
572,L,16,13.49,23.27,2.73,1.91,1,0,41,3,2,0,1,2,4,21,5,9,18,10,3,0.8,1.14,0.79,1,0,1,31,3rd line
573,R,44,11.21,46.64,5.43,3.71,2,2,83,8,4,2,0,5,10,28,12,7,42,16,6,1.7,2.09,1.65,2,1,1,64,3rd line
574,D,74,16.11,75.11,4.13,4.55,6,10,200,18,2,7,0,19,38,49,28,48,100,9,1,2.41,1.05,0.67,2,0,0,110,3rd pair
575,R,74,11.47,65.41,7.85,5.38,10,0,113,18,8,7,0,20,58,279,14,16,45,37,5,1.46,4.83,1.56,1,7,0,87,3rd line
576,L,10,8.86,11.32,1.39,0.76,0,0,16,0,0,1,0,1,2,2,2,1,9,4,2,0.28,0.57,0.54,0,0,0,15,3rd line
577,C,59,16.28,134.53,18.06,9.62,13,7,226,32,12,10,4,9,18,54,34,22,118,38,25,3.98,4.73,9.36,2,2,8,181,2nd line
578,R,77,17.43,234.52,24.25,16.3,11,11,414,49,27,20,2,8,16,125,44,25,230,61,24,7.26,7.88,9.09,11,8,8,315,1st line
579,C,23,8.86,19.31,2.56,1.27,3,0,33,7,4,2,2,4,11,44,7,6,16,5,4,0.6,0.62,1.34,1,1,2,25,3rd line
580,C,10,8.59,4.76,0.79,0.42,1,1,8,3,1,1,1,1,2,2,1,1,2,4,0,0.13,0.66,0.0,0,1,0,6,3rd line
581,D,46,17.67,53.79,2.35,2.99,2,2,116,6,2,2,0,9,16,33,9,17,70,3,2,1.4,0.42,0.53,0,1,1,75,2nd pair
582,R,78,16.29,173.14,24.46,14.57,8,9,302,41,24,14,6,10,22,165,33,22,124,80,31,4.47,10.05,9.95,8,7,9,235,2nd line
583,D,75,15.25,94.98,3.62,5.4,9,7,221,21,5,6,0,21,44,88,38,33,131,7,0,2.76,0.85,0.0,5,0,0,138,3rd pair
584,C,59,11.29,84.85,6.85,5.14,5,5,153,17,7,5,1,18,59,87,17,18,91,15,8,2.19,2.04,2.62,3,2,2,114,3rd line
585,C,31,15.43,60.97,7.33,4.23,5,3,99,13,5,7,1,13,32,63,12,6,52,23,8,1.64,2.63,3.07,1,2,2,83,2nd line
586,D,80,24.13,237.1,16.92,16.27,26,31,459,73,16,23,4,28,57,92,33,52,298,25,16,7.23,3.01,6.69,7,5,4,339,1st pair
587,C,56,11.43,39.99,4.59,2.53,5,3,74,11,3,3,0,29,84,203,6,20,37,13,6,1.18,1.58,1.83,2,0,1,56,3rd line
588,R,50,11.1,43.29,4.29,2.83,1,2,77,9,6,8,2,0,0,9,21,13,42,15,2,1.64,2.0,0.65,1,4,1,59,3rd line
589,C,27,11.93,27.2,3.82,2.12,3,0,45,6,3,3,1,10,26,68,5,4,18,13,5,0.63,1.63,1.56,0,2,1,36,3rd line
590,D,17,16.22,18.6,0.74,1.04,0,2,43,3,1,3,1,2,4,14,4,10,25,1,1,0.39,0.12,0.23,0,0,1,27,3rd pair
591,C,70,14.61,100.71,11.28,6.42,8,7,164,27,12,7,1,13,37,125,27,34,94,29,12,2.75,3.98,4.55,4,8,0,135,2nd line
592,C,81,12.78,77.66,8.31,5.46,6,5,146,20,9,4,1,15,30,152,30,17,71,26,8,2.54,3.17,2.59,4,3,2,105,3rd line
593,L,75,10.23,83.28,8.38,5.22,1,1,139,11,9,7,1,27,93,165,19,21,82,25,8,2.31,3.15,2.91,2,3,4,115,3rd line
594,D,53,20.25,43.2,2.4,2.58,1,6,109,10,3,6,1,18,39,131,8,31,59,1,3,1.21,0.11,1.08,1,0,2,63,1st pair
595,L,45,10.18,42.74,4.17,3.0,5,2,79,9,2,5,0,23,64,131,6,6,40,14,4,1.26,1.74,1.17,1,0,1,58,3rd line
596,D,11,11.18,6.21,0.26,0.4,1,1,19,4,2,1,0,2,4,6,1,6,9,1,0,0.18,0.09,0.0,2,0,0,10,3rd pair
597,D,78,18.71,64.41,2.83,3.56,8,9,137,23,6,3,0,7,14,78,23,38,87,4,1,1.72,0.55,0.56,3,2,1,92,2nd pair
598,D,46,16.46,23.46,0.59,1.27,3,4,50,8,1,4,0,10,20,95,7,23,35,0,0,0.59,0.0,0.0,1,0,0,35,3rd pair
599,D,75,17.77,64.13,2.32,3.6,2,3,139,5,0,5,0,15,30,116,13,30,90,4,0,1.91,0.41,0.0,0,0,0,94,2nd pair
600,D,82,24.17,125.26,8.36,8.69,21,17,294,48,10,12,2,9,14,18,34,48,157,17,7,3.61,2.01,2.74,5,1,4,181,1st pair
601,L,79,20.15,284.62,51.19,24.59,27,20,431,83,36,30,6,18,39,77,33,30,161,141,66,6.44,18.08,26.67,4,12,20,368,1st line
602,D,44,20.52,45.95,2.3,2.72,9,5,107,18,4,2,0,12,27,84,23,51,57,8,0,1.46,0.84,0.0,3,1,0,65,1st pair
603,D,82,21.05,89.52,5.48,5.8,8,16,213,31,7,9,0,16,35,80,14,43,116,9,3,3.02,1.16,1.3,4,2,1,128,1st pair
604,L,82,16.15,174.84,27.16,14.03,10,3,275,34,21,29,4,12,24,89,18,25,113,68,49,4.23,8.69,14.24,7,6,8,230,2nd line
605,D,47,14.57,40.98,1.87,2.31,1,3,97,5,1,3,0,9,18,90,14,10,55,2,2,1.08,0.25,0.54,1,0,0,59,3rd pair
606,D,29,12.79,35.63,1.92,2.08,0,1,70,1,0,6,0,2,4,30,3,6,45,4,2,1.0,0.41,0.52,0,0,0,51,3rd pair
607,L,76,14.25,113.6,14.95,8.93,6,6,190,18,6,14,4,30,97,290,29,30,82,58,14,3.17,7.56,4.22,0,3,3,154,2nd line
608,D,15,11.7,8.46,0.51,0.52,0,0,14,0,0,0,0,4,8,30,2,8,11,1,0,0.36,0.14,0.0,0,0,0,12,3rd pair
609,C,66,14.66,76.72,10.33,5.78,10,5,117,25,10,6,1,15,30,20,27,26,57,34,11,2.06,4.26,4.0,1,6,3,102,2nd line
610,L,82,18.84,299.08,30.92,21.78,39,24,565,109,46,30,8,10,20,57,62,66,301,81,30,9.28,9.66,11.97,16,17,13,412,1st line
611,C,17,9.32,25.63,1.82,1.51,0,1,42,2,1,1,0,4,8,9,6,4,29,5,2,0.85,0.54,0.43,0,0,1,36,3rd line
612,R,36,7.0,32.26,2.69,2.08,2,1,60,4,1,4,0,17,52,67,6,6,29,13,1,0.72,1.72,0.25,0,1,0,43,3rd line
613,D,78,14.12,101.38,4.9,5.84,5,3,215,14,6,8,0,16,35,78,28,21,134,9,3,2.94,1.15,0.82,5,0,1,146,3rd pair
614,C,71,18.32,176.73,20.49,13.11,18,16,319,56,22,16,3,11,32,27,35,60,154,69,16,6.26,8.13,6.1,5,11,6,239,1st line
615,L,68,16.91,137.67,12.32,9.51,18,7,235,37,12,15,1,8,16,15,36,49,151,31,13,4.72,3.48,4.12,6,2,4,195,1st line
616,D,75,19.56,93.1,5.21,5.31,10,11,194,27,6,6,0,25,50,120,20,46,124,8,4,2.46,0.97,1.78,4,1,1,136,2nd pair
617,L,82,15.78,190.28,28.32,14.12,22,23,330,78,33,17,7,14,34,97,55,48,138,74,40,4.22,8.97,15.13,9,10,14,252,2nd line
618,C,82,16.06,130.41,16.91,9.86,18,18,220,57,21,10,3,8,16,67,31,35,100,62,17,3.55,7.71,5.66,9,7,5,179,2nd line
619,D,65,24.42,153.15,8.88,9.68,9,14,299,35,12,14,0,12,26,97,42,60,189,18,8,3.91,2.22,2.75,5,5,2,215,1st pair
620,R,13,10.17,14.79,0.95,0.85,1,0,24,1,0,1,0,2,4,2,8,1,16,4,0,0.43,0.52,0.0,0,0,0,20,3rd line
621,C,10,11.6,8.86,0.66,0.6,1,1,17,3,1,0,1,1,2,4,3,1,9,2,1,0.19,0.21,0.26,0,0,1,12,3rd line
622,L,34,17.23,58.56,10.04,5.14,4,2,98,20,14,4,3,5,10,57,11,17,26,39,13,0.89,4.94,4.21,1,8,5,78,1st line
623,R,58,16.72,134.93,20.4,10.83,8,8,228,35,19,16,5,20,49,125,44,26,102,57,28,3.58,6.29,10.53,4,8,7,187,1st line
624,C,55,10.0,38.56,4.22,2.93,2,4,64,8,2,3,0,3,6,47,10,6,35,15,3,1.21,2.13,0.89,1,1,0,53,3rd line
625,C,82,20.14,260.63,33.31,19.79,36,24,443,93,33,35,5,16,32,71,59,67,205,106,37,6.29,14.03,12.99,12,10,11,348,1st line
626,D,27,15.09,17.9,0.53,1.16,7,5,52,14,2,0,0,4,8,23,6,17,27,0,0,0.53,0.0,0.0,2,0,0,27,3rd pair
627,D,82,20.91,122.65,5.04,7.9,10,11,301,26,5,17,0,7,14,140,22,37,176,7,2,3.58,0.85,0.61,3,1,1,185,1st pair
628,L,14,13.83,14.22,2.46,1.12,5,1,27,8,2,3,2,1,2,8,6,10,11,5,3,0.44,0.75,1.27,0,1,1,19,2nd line
629,C,82,15.99,136.07,17.79,10.11,11,15,244,43,17,14,3,12,28,64,47,42,104,65,19,3.99,8.15,5.65,6,6,5,188,2nd line
630,D,60,26.38,175.89,12.26,12.79,29,20,403,66,17,16,1,14,30,65,50,48,227,21,10,6.24,2.37,3.65,10,4,3,258,1st pair
631,C,82,16.2,193.25,25.2,15.05,16,9,325,39,14,20,3,6,12,73,37,30,144,76,37,5.02,9.25,10.93,2,7,5,257,2nd line
632,D,11,11.54,17.84,0.53,0.91,0,2,37,3,1,3,0,2,4,31,9,5,25,1,0,0.44,0.08,0.0,1,0,0,26,3rd pair
633,L,18,9.89,18.1,1.65,1.24,2,1,28,3,0,1,0,2,4,20,1,1,16,7,1,0.62,0.82,0.22,0,0,0,24,3rd line
634,D,63,18.84,70.82,3.81,3.99,10,7,159,18,1,6,0,21,45,68,13,17,92,7,2,1.83,0.78,1.2,0,0,1,101,2nd pair
635,C,48,10.59,64.48,6.17,4.36,1,3,108,8,4,6,0,8,16,61,17,6,60,20,5,1.98,2.55,1.65,1,3,0,85,3rd line
636,L,82,17.22,226.15,36.6,19.7,12,10,336,50,28,33,7,22,50,125,25,35,153,101,49,5.64,13.19,17.77,6,14,8,303,1st line
637,D,76,20.61,106.01,4.79,6.21,7,7,231,19,5,6,0,24,51,147,9,19,145,7,3,3.24,0.72,0.83,5,0,0,155,1st pair
638,R,67,14.22,115.84,13.28,8.26,10,6,203,27,11,10,2,11,31,68,23,33,99,47,10,3.9,5.98,3.41,2,5,4,156,2nd line
639,C,28,9.81,30.1,3.67,2.16,3,1,43,7,3,2,1,3,8,28,3,4,21,13,6,0.54,1.54,1.59,0,1,2,40,3rd line
640,C,79,17.83,128.34,19.2,9.99,20,11,222,41,10,12,3,10,20,78,38,33,98,49,25,3.44,6.21,9.54,1,3,6,172,1st line
641,C,81,17.57,213.95,17.93,14.56,26,10,387,54,18,19,1,10,23,52,40,35,225,55,15,6.16,6.63,5.14,8,4,6,295,1st line
642,L,77,11.31,81.51,9.78,6.03,9,3,144,19,7,4,0,16,43,168,29,27,63,33,13,2.41,4.04,3.33,2,4,1,109,3rd line
643,L,72,13.95,97.9,13.22,7.02,6,6,190,24,12,12,1,3,6,124,30,17,73,46,15,2.67,5.53,5.02,1,7,4,134,2nd line
644,L,81,13.61,120.49,15.58,8.71,7,7,206,25,11,13,1,7,20,98,56,29,100,43,19,3.91,5.13,6.54,1,6,4,162,2nd line
645,R,11,15.96,14.48,1.72,1.22,2,3,27,6,1,0,0,0,0,2,4,1,17,3,1,0.61,0.38,0.73,0,0,1,21,2nd line
646,L,61,13.38,59.46,6.57,4.41,6,4,114,18,8,4,1,9,21,160,16,17,56,22,7,1.89,2.58,2.1,4,2,2,85,3rd line
647,C,58,18.5,112.76,14.72,8.94,15,9,185,38,14,10,3,21,43,53,27,31,87,45,19,2.73,6.12,5.86,0,8,6,151,1st line
648,R,46,18.05,170.37,15.47,11.62,2,8,294,36,26,9,3,1,2,18,19,23,166,48,14,5.19,5.48,4.8,9,11,6,228,1st line
649,D,14,15.7,14.68,0.72,0.99,0,5,32,6,1,3,0,3,6,13,8,3,20,1,0,0.54,0.18,0.0,1,0,0,21,3rd pair
650,R,61,14.52,120.3,11.37,7.84,7,6,218,31,18,10,1,7,14,91,20,12,118,44,6,3.73,5.52,2.12,7,8,3,168,2nd line
651,R,82,16.61,266.5,29.78,18.35,19,20,477,73,34,22,6,12,28,59,41,32,260,67,38,8.17,7.98,13.62,6,11,17,365,1st line
652,R,72,17.04,142.72,21.06,10.24,23,16,254,55,16,14,3,23,46,54,45,27,125,48,25,4.17,6.19,10.7,2,5,9,198,1st line
653,L,24,14.18,48.04,6.68,3.61,2,2,84,7,3,6,0,1,2,15,12,10,41,20,6,1.48,2.45,2.75,0,1,2,67,2nd line
654,L,82,20.54,146.6,18.6,12.42,22,13,255,52,17,13,4,15,33,37,28,28,134,54,21,5.29,6.96,6.34,5,7,5,209,1st line
655,C,70,17.62,127.05,18.71,9.71,15,12,204,40,13,11,3,7,14,175,33,35,102,46,25,3.21,5.86,9.64,2,2,9,173,1st line
656,D,17,14.4,19.53,0.42,1.08,1,0,49,3,2,1,0,1,2,26,2,13,29,0,0,0.42,0.0,0.0,2,0,0,29,3rd pair
657,D,77,21.92,133.23,7.65,8.57,11,17,279,32,4,14,1,6,12,43,33,52,172,15,5,3.94,1.68,2.03,3,0,1,192,1st pair
658,C,82,14.74,134.58,17.57,10.31,8,17,243,43,18,19,3,25,50,105,29,48,111,48,25,3.22,6.28,8.08,5,7,6,184,2nd line
659,C,10,7.69,7.02,0.79,0.53,0,0,14,0,0,2,0,3,6,26,3,1,6,1,2,0.2,0.1,0.49,0,0,0,9,3rd line
660,L,78,20.12,247.95,38.93,21.55,26,11,446,73,36,27,2,22,46,83,44,48,174,123,47,6.57,14.26,18.11,7,12,17,344,1st line
661,C,64,13.31,98.71,11.06,7.09,5,3,179,11,3,12,1,11,22,105,17,15,96,28,13,3.59,3.22,4.25,1,0,2,137,3rd line
662,C,25,17.37,53.2,6.78,4.4,7,4,84,17,6,4,2,3,6,10,18,14,44,15,11,1.46,1.96,3.36,0,0,6,70,1st line
663,L,82,16.92,192.1,20.78,14.08,20,12,350,56,24,21,0,26,52,107,40,32,183,63,21,5.83,7.32,7.63,7,12,5,267,1st line
664,C,81,12.35,160.5,17.5,11.97,10,6,269,32,16,15,5,17,40,188,38,20,136,62,18,4.83,7.67,5.0,2,8,6,216,3rd line
665,D,10,11.73,5.84,0.14,0.3,0,0,11,1,1,0,0,1,2,31,1,4,8,0,0,0.14,0.0,0.0,1,0,0,8,3rd pair
666,C,77,16.45,122.72,12.02,8.49,20,13,218,44,11,13,1,5,10,42,31,45,109,45,10,3.64,5.44,2.93,1,5,5,164,1st line
667,L,79,16.34,208.66,20.36,13.82,19,11,396,70,40,18,5,7,14,65,56,28,213,48,26,6.47,6.13,7.77,16,12,12,287,2nd line
668,L,81,11.15,90.75,9.14,5.99,8,4,163,19,7,10,1,16,53,295,15,20,89,21,13,2.88,2.76,3.51,3,1,3,123,3rd line
669,C,71,17.42,159.62,25.23,13.4,12,7,291,40,21,14,4,11,22,55,44,31,127,61,33,4.53,7.64,13.06,3,7,11,221,1st line
670,R,73,19.31,214.86,18.08,14.91,20,16,371,57,21,11,2,8,16,13,31,61,237,44,15,7.15,5.47,5.47,12,4,5,296,1st line
671,R,33,13.11,54.76,5.71,3.7,3,6,108,15,6,3,1,5,10,18,10,15,53,14,7,1.58,1.42,2.72,0,2,4,74,3rd line
672,C,82,12.12,140.94,11.6,8.52,7,4,224,20,9,12,3,9,18,158,29,13,144,29,15,3.77,3.36,4.46,3,2,4,188,3rd line
673,R,66,13.2,125.45,9.75,7.99,8,2,227,17,7,9,0,5,10,43,16,34,126,34,8,3.49,4.37,1.89,3,4,0,168,3rd line
674,D,27,17.69,35.09,2.07,1.85,6,2,71,10,2,4,1,18,42,64,20,13,44,5,2,0.86,0.59,0.62,0,1,1,51,2nd pair
675,D,85,19.78,149.61,8.95,10.98,22,20,329,55,13,19,3,18,36,55,32,48,201,13,6,5.09,1.59,2.27,9,1,3,220,2nd pair
676,D,77,14.49,75.76,3.32,4.67,7,3,164,14,4,3,0,22,56,126,9,24,100,7,2,1.85,0.95,0.52,3,1,0,109,3rd pair
677,R,82,20.75,218.67,24.95,16.13,38,11,383,86,37,16,2,19,39,18,58,63,212,68,22,7.56,7.76,9.63,16,8,13,302,1st line
678,C,81,16.69,164.33,22.11,13.29,24,18,275,65,23,25,6,12,24,20,45,42,123,68,29,4.36,8.58,9.17,8,8,7,220,1st line
679,D,63,18.58,124.39,6.81,7.74,13,12,251,32,7,6,1,13,29,40,19,30,167,6,6,4.15,0.63,2.03,3,2,2,179,2nd pair
680,L,14,7.68,13.84,1.6,1.0,0,0,24,1,1,2,1,5,13,26,0,2,13,2,4,0.36,0.25,1.0,0,0,1,19,3rd line
681,R,14,9.72,19.21,1.78,1.27,1,0,32,1,0,2,0,3,6,26,3,0,17,7,1,0.6,0.87,0.3,0,0,0,25,3rd line
682,C,57,12.97,125.15,12.79,8.99,6,1,204,17,10,11,4,13,32,97,25,10,123,30,15,4.65,3.6,4.54,2,4,4,168,3rd line
683,C,21,10.46,23.5,3.07,1.7,0,0,41,1,1,0,0,5,10,17,10,4,19,6,7,0.53,0.77,1.77,0,0,1,32,3rd line
684,D,23,10.04,15.12,0.51,0.82,0,0,33,0,0,0,0,2,4,61,0,16,22,0,0,0.51,0.0,0.0,0,0,0,22,3rd pair
685,L,82,17.01,142.85,14.98,10.37,10,14,258,39,15,19,4,16,41,71,25,40,129,43,20,4.16,5.16,5.66,4,6,5,192,1st line
686,C,61,11.38,68.13,5.38,4.36,4,4,122,12,4,1,1,13,34,167,9,13,73,19,6,1.74,1.96,1.68,1,1,2,98,3rd line
687,D,58,21.22,50.0,2.59,3.08,3,9,101,14,2,6,0,8,14,47,26,43,65,9,0,1.45,1.14,0.0,2,0,0,74,1st pair
688,D,76,21.99,138.66,7.49,8.0,10,10,297,27,7,17,1,4,8,36,88,40,178,16,4,4.24,2.03,1.22,5,1,1,198,1st pair
689,C,74,13.84,82.31,8.51,6.01,9,8,143,26,9,5,0,21,50,93,19,28,77,24,9,2.73,3.23,2.57,3,4,2,110,2nd line
690,R,53,11.35,76.22,7.57,5.09,3,5,133,12,4,8,0,17,40,117,14,18,66,32,4,2.34,4.18,1.04,2,2,0,102,3rd line
691,D,24,15.22,28.38,1.26,1.6,2,2,55,4,0,3,0,2,4,20,7,7,38,2,1,0.8,0.24,0.22,0,0,0,41,3rd pair
692,D,64,21.7,116.41,5.55,7.08,13,17,259,39,9,7,0,15,24,102,12,32,153,12,3,3.39,1.24,0.92,8,1,0,168,1st pair
693,C,79,12.62,74.72,7.55,4.85,5,4,131,19,10,3,2,17,34,55,24,9,75,22,7,2.68,2.73,2.14,5,2,3,104,3rd line
694,R,39,11.84,47.54,4.77,3.25,2,1,70,7,4,4,0,3,9,52,8,16,43,16,4,1.34,1.96,1.47,3,1,0,63,3rd line
695,R,78,20.19,200.2,20.43,13.98,30,15,381,67,22,18,3,13,26,51,45,44,187,75,17,5.69,8.77,5.97,7,11,4,279,1st line
696,C,63,12.91,80.07,11.1,5.86,10,2,128,16,4,9,2,5,10,71,26,16,52,38,15,1.42,5.11,4.57,1,2,1,105,3rd line
697,D,78,18.95,105.75,4.86,6.06,8,12,232,24,4,6,0,25,53,60,20,48,147,4,3,2.79,0.5,1.57,1,2,1,154,2nd pair
698,D,76,19.48,94.39,4.44,5.01,10,12,185,25,3,7,1,18,46,163,32,42,124,8,3,2.71,1.06,0.67,2,1,0,135,2nd pair
699,R,55,12.11,97.31,9.77,6.97,7,8,180,22,7,5,0,3,6,16,16,9,89,37,8,2.96,4.47,2.34,2,4,1,134,3rd line
700,C,49,11.93,53.2,6.63,3.97,1,1,86,5,3,3,1,9,21,138,15,5,38,21,10,1.07,2.74,2.82,0,2,1,69,3rd line
701,L,80,16.16,130.2,17.48,9.26,8,7,217,32,17,6,0,15,33,111,60,35,110,46,21,4.15,5.6,7.73,5,5,7,177,2nd line
702,D,17,16.54,14.48,0.56,0.76,0,2,24,3,1,2,0,4,6,11,1,6,20,1,0,0.43,0.14,0.0,0,1,0,21,3rd pair
703,C,82,16.76,130.76,17.04,10.25,16,13,218,45,16,10,0,17,42,182,49,40,91,69,17,3.38,7.88,5.78,2,8,6,177,1st line
