,position,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
243,R,80,14.84,121.81,12.48,8.06,11,3,203,27,13,13,2,10,20,126,19,32,116,29,17,3.27,3.66,5.54,1,7,5,162,2nd line
244,D,61,21.65,103.48,4.57,5.69,6,9,230,21,6,11,0,19,36,77,31,38,143,7,2,2.95,1.01,0.61,5,0,1,152,1st pair
245,D,80,19.69,109.01,6.5,6.6,8,6,228,18,4,15,1,22,44,125,33,55,135,12,7,2.82,1.6,2.08,1,2,1,154,2nd pair
246,D,75,18.83,87.66,4.8,4.97,6,7,174,16,3,6,0,16,38,128,28,21,113,11,3,2.45,1.34,1.02,1,2,0,127,2nd pair
247,D,14,12.33,15.79,0.67,0.95,0,0,34,2,2,0,0,3,6,12,6,7,21,2,0,0.44,0.23,0.0,2,0,0,23,3rd pair
248,C,74,14.68,180.2,18.25,12.63,16,7,312,45,22,10,1,14,30,36,30,35,159,70,14,5.74,8.21,4.31,8,8,6,243,2nd line
249,C,77,10.93,103.8,10.69,7.39,2,2,167,14,10,10,1,11,25,163,18,12,88,42,10,2.96,5.2,2.53,4,4,2,140,3rd line
250,D,38,15.52,43.91,2.18,2.53,4,1,83,7,2,4,0,13,26,111,4,14,56,6,1,1.11,0.82,0.26,2,0,0,63,3rd pair
251,R,60,20.12,200.52,23.29,14.18,23,7,358,61,31,15,4,27,57,55,34,26,188,61,23,6.53,7.62,9.13,12,10,9,272,1st line
252,L,51,13.88,64.39,8.43,4.8,4,4,111,14,6,10,0,11,31,108,23,20,51,23,12,1.7,3.07,3.66,1,1,4,86,2nd line
253,C,79,11.03,99.32,9.62,6.98,8,10,175,27,9,13,2,16,38,87,20,18,97,30,9,3.05,3.72,2.85,4,3,2,136,3rd line
254,R,37,10.42,30.27,3.66,1.9,6,2,49,13,5,3,0,7,18,24,7,13,24,13,4,0.68,1.56,1.42,2,2,1,41,3rd line
255,L,66,12.55,70.31,8.65,4.96,5,6,112,18,7,2,1,16,38,69,20,22,55,28,9,1.86,3.4,3.39,1,2,4,92,3rd line
256,C,81,19.02,247.68,34.44,18.14,29,21,449,84,34,27,2,23,46,92,25,54,191,120,32,7.2,13.98,13.26,8,14,12,343,1st line
257,L,81,15.22,134.84,16.31,9.46,10,13,239,39,16,7,1,15,33,141,32,36,117,49,17,3.74,6.12,6.44,5,6,5,183,2nd line
258,R,80,14.73,92.02,14.33,7.7,6,13,152,29,10,7,3,8,16,104,24,27,60,40,25,2.46,4.85,7.03,3,5,2,125,2nd line
259,C,81,13.72,88.38,11.97,6.73,6,3,141,20,11,9,4,18,39,89,26,18,70,29,21,2.6,3.61,5.76,3,3,5,120,2nd line
260,L,80,10.34,75.8,9.38,6.15,4,5,122,14,5,7,2,32,100,172,26,19,51,33,14,1.81,4.01,3.57,0,3,2,98,3rd line
261,L,60,12.37,74.08,8.54,5.78,12,4,116,26,10,8,2,18,45,147,21,18,64,23,10,2.2,2.8,3.54,3,4,3,97,3rd line
262,D,73,15.15,49.88,2.19,2.87,5,5,99,12,2,4,0,20,38,47,18,14,66,8,0,1.3,0.89,0.0,2,0,0,74,3rd pair
263,D,59,17.11,60.74,3.52,3.8,4,3,139,12,5,4,1,14,31,90,24,25,78,6,4,1.65,0.72,1.15,3,1,1,88,3rd pair
264,R,32,10.54,40.54,4.83,2.97,1,1,72,4,2,3,1,9,24,75,7,2,32,18,5,0.83,2.22,1.78,1,0,1,55,3rd line
265,C,77,12.62,105.13,14.56,8.29,8,9,178,25,8,16,3,17,35,108,34,11,68,60,14,2.38,7.38,4.8,0,5,3,142,3rd line
266,D,10,16.62,16.85,0.48,0.91,0,2,37,2,0,2,0,4,8,27,3,4,25,0,0,0.48,0.0,0.0,0,0,0,25,3rd pair
267,L,14,13.49,19.57,1.91,1.37,3,1,30,5,1,2,0,9,21,20,5,1,20,5,2,0.82,0.63,0.45,0,1,0,27,3rd line
268,C,39,16.88,59.6,9.8,4.52,8,6,118,21,7,8,1,7,14,24,16,22,41,24,15,1.37,2.95,5.49,1,2,4,80,1st line
269,R,24,16.57,47.61,5.9,3.94,5,3,78,15,7,4,1,3,6,9,15,9,36,18,7,1.19,2.59,2.12,2,3,2,61,1st line
270,D,65,21.7,120.88,6.77,7.9,20,17,242,41,4,8,0,9,21,70,20,65,154,15,5,3.37,1.79,1.6,2,2,0,174,1st pair
271,L,56,12.59,111.48,15.45,9.28,8,1,172,25,16,13,3,15,30,133,19,8,72,46,26,2.54,5.84,7.07,4,6,6,144,3rd line
272,C,65,14.96,86.15,10.62,6.49,7,11,149,28,10,13,1,9,18,46,21,22,75,31,13,3.16,3.87,3.59,3,4,3,119,2nd line
273,D,73,17.79,89.35,5.45,5.88,12,15,215,34,7,3,0,20,40,30,14,24,112,14,4,2.51,1.76,1.17,2,4,1,130,2nd pair
274,L,75,13.03,93.91,9.97,6.54,3,4,156,19,12,5,3,9,21,84,23,19,91,27,12,3.07,3.3,3.6,6,3,3,130,3rd line
275,C,63,11.53,91.6,12.56,7.06,3,3,161,17,11,11,2,10,29,84,4,18,73,43,13,2.27,5.2,5.09,1,3,7,129,3rd line
276,D,67,19.47,72.71,3.74,4.34,8,5,148,16,3,5,0,17,34,96,19,45,96,6,3,2.05,0.64,1.05,2,1,0,105,2nd pair
277,C,31,15.59,57.21,6.3,4.07,10,3,102,18,5,7,1,3,6,28,10,15,58,18,5,2.29,1.97,2.04,1,1,3,81,2nd line
278,D,79,23.0,124.0,5.42,7.7,6,17,256,27,4,11,0,15,30,115,59,49,175,5,3,3.69,0.86,0.87,4,0,0,183,1st pair
279,R,43,12.44,69.82,9.89,5.8,5,4,102,15,6,10,3,11,31,99,11,6,40,35,14,1.45,4.59,3.86,0,4,2,89,3rd line
280,R,75,12.23,130.62,12.71,9.11,6,5,227,16,5,9,0,13,32,139,24,20,127,37,14,4.36,4.6,3.75,2,3,0,178,3rd line
281,C,62,15.92,87.42,11.79,6.79,7,2,148,19,10,13,3,10,28,19,40,17,63,39,16,2.15,4.8,4.84,3,3,4,118,2nd line
282,D,61,22.34,108.11,4.27,7.06,8,18,253,31,5,11,0,13,24,190,23,36,154,9,0,3.31,0.96,0.0,4,1,0,163,1st pair
283,D,48,24.45,114.99,6.62,7.97,18,8,252,34,8,17,2,14,33,53,42,73,148,16,3,3.59,1.83,1.19,3,3,2,167,1st pair
284,C,64,16.86,86.95,12.31,7.56,6,12,144,28,10,10,2,3,6,13,20,34,61,35,19,2.14,4.56,5.61,0,5,5,115,1st line
285,D,76,19.45,90.43,3.59,5.13,11,9,235,22,2,6,0,21,43,198,25,55,130,2,2,2.54,0.35,0.7,2,0,0,134,2nd pair
286,D,83,19.14,81.06,3.38,4.61,1,5,173,8,2,4,0,14,28,117,16,40,110,5,2,2.15,0.61,0.62,2,0,0,117,2nd pair
287,R,76,17.14,233.4,26.0,15.73,16,13,432,57,28,21,4,9,21,76,40,30,229,63,28,7.19,8.03,10.78,9,6,13,320,1st line
288,C,46,14.85,73.02,8.11,4.88,8,5,123,18,5,8,1,12,26,36,18,14,64,26,8,1.79,3.28,3.04,0,2,3,98,2nd line
289,D,75,19.07,90.32,4.0,4.99,7,9,194,23,7,4,0,6,15,21,30,40,117,6,4,2.07,0.85,1.08,5,0,2,127,2nd pair
290,R,56,14.02,70.78,9.47,4.67,11,4,124,18,3,2,0,13,26,80,25,18,53,27,14,1.71,3.29,4.46,0,1,2,94,2nd line
291,R,73,14.72,114.51,13.26,8.63,15,11,204,33,7,11,2,9,18,33,21,32,94,39,19,2.93,5.12,5.21,2,1,4,152,2nd line
292,L,17,9.1,16.01,1.57,1.14,0,0,32,1,1,1,0,1,2,32,4,6,14,6,2,0.4,0.67,0.51,0,0,1,22,3rd line
293,L,13,13.46,14.63,1.36,1.14,1,2,23,3,0,0,0,3,6,7,4,5,12,6,1,0.28,0.86,0.23,0,0,0,19,3rd line
294,D,82,19.92,102.79,6.6,5.61,7,9,231,24,8,5,1,5,10,87,31,56,133,12,4,2.82,1.49,2.28,4,1,3,149,2nd pair
295,D,16,14.42,4.0,0.15,0.26,1,3,21,4,0,0,0,6,15,28,2,6,6,0,0,0.15,0.0,0.0,0,0,0,6,3rd pair
296,R,82,19.01,255.18,28.32,19.2,29,10,471,66,27,30,3,12,25,109,44,39,224,96,25,7.64,11.32,9.35,6,12,9,345,1st line
297,R,31,12.13,39.43,3.04,2.54,3,5,67,14,6,3,1,5,13,27,8,13,39,13,1,1.14,1.6,0.3,4,1,1,53,3rd line
298,D,60,16.31,90.37,4.1,5.19,5,5,195,16,6,12,0,13,26,49,6,32,118,9,2,2.53,0.92,0.64,4,1,1,129,3rd pair
299,C,55,12.83,71.18,8.39,5.15,2,3,131,18,13,4,2,6,15,168,17,11,57,30,8,2.08,3.86,2.45,4,7,2,95,3rd line
300,C,82,18.43,158.43,19.64,12.02,22,22,284,65,21,8,3,17,40,140,41,47,137,60,17,4.75,7.56,7.33,9,5,7,214,1st line
301,D,27,11.92,16.66,0.84,1.07,2,1,42,3,0,1,0,2,4,35,5,1,21,3,0,0.46,0.38,0.0,0,0,0,24,3rd pair
302,D,44,8.33,19.46,1.16,1.15,3,2,51,6,1,1,0,20,55,86,6,8,25,1,2,0.4,0.14,0.62,1,0,0,28,3rd pair
303,R,78,12.33,155.18,21.42,14.83,11,12,236,36,13,32,5,13,32,99,27,31,114,63,31,3.31,8.32,9.79,3,6,4,208,3rd line
304,D,47,11.21,44.4,1.74,2.72,3,3,97,10,4,3,0,6,12,16,9,7,65,2,0,1.55,0.19,0.0,3,1,0,67,3rd pair
305,D,78,19.39,98.72,4.41,5.83,7,7,218,17,3,3,1,29,61,117,33,45,138,7,2,2.99,0.76,0.66,2,0,1,147,2nd pair
306,D,63,19.72,128.3,6.49,7.18,5,4,257,18,9,8,0,20,45,47,33,36,171,8,4,4.13,1.12,1.24,7,1,1,183,2nd pair
307,D,44,14.62,39.97,3.11,2.41,2,0,80,3,1,4,0,13,29,89,21,22,49,2,5,1.38,0.25,1.48,1,0,0,56,3rd pair
308,C,56,11.57,76.57,7.49,5.28,1,5,137,10,4,3,1,21,66,150,13,13,67,30,7,1.95,3.67,1.87,1,2,1,104,3rd line
309,D,48,17.36,40.74,1.71,2.41,2,1,92,5,2,3,0,19,62,165,5,13,56,2,1,1.17,0.22,0.31,2,0,0,59,3rd pair
310,D,65,16.71,71.29,3.35,4.13,8,6,149,16,2,7,0,5,10,79,10,31,92,6,2,1.98,0.66,0.72,2,0,0,100,3rd pair
311,D,19,16.02,23.69,1.1,1.21,0,1,47,1,0,4,0,4,11,23,2,6,31,2,1,0.56,0.27,0.28,0,0,0,34,3rd pair
312,L,37,8.07,24.34,3.16,1.68,0,0,42,3,3,1,1,8,24,100,5,2,20,7,6,0.58,0.77,1.81,1,0,2,33,3rd line
313,L,51,11.89,93.45,8.62,6.99,9,3,163,16,4,10,1,6,15,55,30,10,91,25,10,2.99,3.19,2.44,0,1,3,126,3rd line
314,C,82,17.72,189.32,29.37,15.95,24,25,338,77,28,29,4,4,8,93,32,57,135,96,32,4.77,11.37,13.23,5,13,10,263,1st line
315,L,64,15.68,63.24,8.72,4.54,22,16,131,49,11,4,1,9,18,24,23,46,48,22,15,1.51,2.76,4.45,2,5,4,85,2nd line
316,C,81,14.54,111.49,13.67,8.28,10,5,189,21,6,14,0,19,44,188,35,28,86,46,17,2.77,6.09,4.8,2,3,1,149,2nd line
317,C,54,11.65,69.03,7.58,4.78,1,2,117,9,6,8,2,8,20,31,25,12,61,22,10,1.88,2.7,3.0,1,1,4,93,3rd line
318,D,11,13.75,6.6,0.62,0.34,0,0,14,1,1,0,1,1,2,10,1,1,7,1,1,0.15,0.1,0.36,0,0,1,9,3rd pair
319,C,82,19.32,238.76,28.62,19.32,27,15,410,64,22,22,2,26,58,182,55,64,209,97,27,7.3,11.41,9.91,6,8,8,333,1st line
320,D,82,17.51,99.54,3.37,5.46,5,12,211,20,3,4,0,19,41,105,27,40,140,3,0,2.88,0.49,0.0,3,0,0,143,3rd pair
321,R,60,12.89,97.45,12.98,7.2,2,4,157,15,9,17,5,10,26,190,20,7,72,39,20,2.42,4.72,5.85,0,3,6,131,3rd line
322,D,82,16.36,75.69,2.88,4.47,10,7,167,20,3,8,0,19,47,203,14,23,110,3,1,2.12,0.32,0.44,2,1,0,114,3rd pair
323,D,70,16.35,78.28,2.77,4.42,11,7,177,22,4,6,0,29,84,318,11,33,113,1,3,1.78,0.16,0.83,4,0,0,117,3rd pair
324,L,64,13.81,90.61,9.52,6.75,5,5,140,19,9,5,1,17,46,81,11,36,75,35,11,2.13,4.11,3.28,3,4,2,121,2nd line
325,D,71,19.33,76.23,3.63,4.63,10,18,174,35,7,3,0,15,39,136,25,48,101,6,3,2.22,0.7,0.71,5,1,1,110,2nd pair
326,D,78,20.91,97.35,4.94,5.9,7,9,218,17,1,4,0,30,66,93,25,48,134,7,1,3.35,0.74,0.85,1,0,0,142,1st pair
327,D,82,20.64,80.75,4.06,4.92,13,11,189,25,1,5,0,9,16,123,36,40,113,4,3,2.66,0.56,0.84,1,0,0,120,1st pair
328,L,80,10.09,75.82,6.95,5.35,1,5,131,12,6,4,0,27,96,306,13,8,77,23,7,2.29,2.85,1.82,1,4,1,107,3rd line
329,C,78,18.29,161.65,18.25,10.39,13,12,278,43,18,15,1,20,40,156,35,42,147,51,21,3.97,6.25,8.03,4,8,6,219,1st line
330,C,73,19.34,104.98,13.36,7.79,30,17,175,65,18,6,1,11,22,15,67,40,93,40,11,3.76,4.75,4.84,9,4,5,144,1st line
331,C,70,17.19,114.47,15.51,8.79,25,15,202,56,16,9,4,10,20,41,17,36,89,47,20,3.25,5.67,6.59,6,6,4,156,1st line
332,D,82,18.52,149.32,7.86,9.84,11,21,380,40,8,7,0,14,28,95,66,73,200,14,5,4.58,1.6,1.67,3,2,3,219,2nd pair
333,L,67,15.67,145.01,12.55,9.95,12,8,261,34,14,9,4,14,28,24,19,41,146,37,15,4.66,4.08,3.81,4,7,3,198,2nd line
334,R,81,15.62,215.42,23.26,15.72,12,13,358,45,20,16,4,8,16,63,56,20,209,67,23,6.61,8.06,8.58,6,6,8,299,2nd line
335,D,69,15.4,99.2,3.87,5.78,10,5,205,20,5,9,1,11,22,73,27,28,140,6,0,3.04,0.83,0.0,4,1,0,146,3rd pair
336,D,23,16.46,27.75,0.84,1.42,1,1,58,2,0,1,0,0,0,18,7,10,40,0,0,0.84,0.0,0.0,0,0,0,40,3rd pair
337,C,70,11.61,68.49,8.8,4.89,4,7,135,21,10,10,3,1,2,50,22,28,49,37,8,1.81,4.41,2.58,2,6,2,94,3rd line
338,C,29,11.17,26.44,2.84,1.86,2,0,47,5,3,5,0,4,8,16,13,4,24,10,3,0.83,1.24,0.77,2,1,0,37,3rd line
339,D,46,18.63,67.75,2.96,4.72,11,8,135,24,5,3,0,4,8,23,11,24,94,3,1,2.44,0.31,0.21,4,0,1,98,2nd pair
340,R,82,12.81,146.3,13.03,10.47,9,13,261,36,14,17,1,15,30,10,36,27,149,38,12,4.88,4.69,3.45,4,5,5,199,3rd line
341,D,78,17.47,78.49,3.55,4.64,5,12,179,18,1,10,0,3,6,45,34,37,107,5,2,2.38,0.64,0.53,1,0,0,114,3rd pair
342,C,52,10.57,49.76,3.88,3.1,2,2,85,7,3,4,0,21,66,98,13,9,49,17,3,0.95,2.15,0.78,0,3,0,69,3rd line
343,R,38,11.7,52.79,4.15,3.34,3,0,90,9,6,3,1,0,0,36,20,11,52,15,3,1.59,1.82,0.74,2,2,2,70,3rd line
344,C,80,19.56,252.74,27.39,17.99,24,23,465,79,32,25,4,17,35,47,56,47,265,57,26,8.46,6.71,12.21,9,9,14,348,1st line
345,D,82,24.38,154.24,9.73,11.14,28,32,331,72,12,10,1,17,34,25,88,74,193,19,8,5.38,1.87,2.48,4,4,4,220,1st pair
346,C,54,14.49,55.36,6.8,3.37,13,4,107,19,2,4,0,10,28,27,19,29,44,21,7,1.37,2.96,2.47,1,0,1,72,2nd line
347,R,82,18.54,301.38,32.92,22.8,27,20,516,87,40,20,4,14,28,18,70,37,270,95,39,8.72,11.75,12.45,10,16,14,404,1st line
