,playerId,season,name,team,position,situation,games_played,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,penalties,I_F_penalityMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts,Line_or_Pair
461,8474870,2023,Tyler Johnson,CHI,C,all,35,15.21285714,66.39,8.68,5.23,2,2,104,13,9,8,8,16,15,12,12,54,20,13,1.57,2.56,4.56,2,1,6,87,1st line
462,8476399,2023,Blake Coleman,CGY,C,all,40,16.71833333,98.37,12.02,6.57,6,9,175,30,15,9,17,34,45,27,21,93,28,11,2.87,3.92,5.24,5,5,5,132,3rd pair
463,8478483,2023,Mitchell Marner,TOR,R,all,37,21.41081081,99.62,11.5,6.8,16,9,192,40,15,6,7,14,24,29,26,91,29,13,3.02,3.62,4.86,5,4,6,133,1st pair
464,8476856,2023,Matt Dumba,ARI,D,all,37,20.11171171,45.94,2.89,3.07,0,3,97,5,2,5,13,29,72,4,21,57,8,2,1.45,0.96,0.48,1,1,0,67,2nd pair
465,8481013,2023,Jonatan Berggren,DET,R,all,9,10.13888889,10.86,1.01,0.76,1,2,17,5,2,1,1,2,0,3,0,11,3,1,0.35,0.36,0.29,0,1,1,15,3rd line
466,8477473,2023,Justin Bailey,SJS,R,all,19,12.29035088,21.61,1.97,1.51,3,1,43,6,2,0,1,2,12,6,3,20,9,1,0.42,1.11,0.43,2,0,0,30,3rd line
467,8478585,2023,Derek Ryan,EDM,C,all,36,10.40462963,27.41,2.84,2.09,4,1,42,8,3,4,1,2,18,17,11,23,11,3,0.69,1.41,0.73,0,2,1,37,1st line
468,8480789,2023,Oliver Wahlstrom,NYI,R,all,19,11.47719298,23.15,1.95,1.6,3,0,53,5,2,3,2,4,16,4,4,24,7,1,0.76,0.96,0.23,2,0,0,32,1st pair
469,8475753,2023,Justin Faulk,STL,D,all,35,22.40857143,77.63,6.09,4.46,8,7,154,17,2,6,5,10,45,19,17,90,12,6,2.18,1.61,2.3,1,0,1,108,1st line
470,8475690,2023,Chris Tanev,CGY,D,all,37,19.06801802,29.1,0.72,1.42,2,4,59,7,1,1,6,10,14,11,24,41,1,0,0.61,0.12,0.0,1,0,0,42,2nd line
471,8482116,2023,Tim Sttzle,OTT,C,all,35,21.77428571,107.01,11.19,7.3,12,15,199,34,7,12,6,12,33,22,32,105,31,8,3.98,4.21,3.0,2,4,1,144,2nd line
472,8479345,2023,Jakob Chychrun,OTT,D,all,35,22.77761905,90.63,4.91,5.6,6,12,196,25,7,4,9,18,17,8,36,116,10,3,2.54,1.04,1.33,5,2,0,129,3rd pair
473,8477506,2023,Ryan Pulock,NYI,D,all,25,22.788,34.26,1.12,1.78,0,4,85,6,2,7,4,8,37,11,13,49,0,0,1.12,0.0,0.0,2,0,0,49,2nd line
474,8480188,2023,Fabian Zetterlund,SJS,L,all,40,18.06583333,101.74,10.1,7.13,6,0,194,17,11,8,7,17,34,16,13,93,37,10,2.68,4.64,2.77,3,7,1,140,2nd line
475,8482126,2023,Emil Andrae,PHI,D,all,4,13.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,2nd line
476,8481206,2023,John Ludvig,PIT,D,all,19,11.57105263,12.64,0.64,0.76,1,0,26,1,0,2,7,23,37,2,6,16,2,0,0.37,0.26,0.0,0,0,0,18,1st line
477,8482094,2023,Daemon Hunt,MIN,D,all,10,10.76833333,6.92,0.3,0.43,0,1,16,1,0,2,0,0,6,1,2,10,0,0,0.3,0.0,0.0,0,0,0,10,1st line
