,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
559,22.7,144.4,11.51,8.82,281,33,10,18,46,175,21,9,4.81,2.29,4.41,3,3,3,205
560,19.56,397.45,45.36,28.79,728,113,36,52,109,373,125,44,12.25,15.39,17.71,27,15,19,542
561,19.15,225.38,28.9,14.85,363,79,21,64,38,216,58,33,7.31,6.89,14.69,10,11,15,307
562,11.42,152.6,13.66,10.37,280,46,16,21,21,165,34,12,4.86,4.48,4.32,9,4,8,211
563,20.28,335.05,38.49,26.85,568,85,38,68,55,288,127,38,10.78,15.23,12.49,21,9,10,453
564,12.8,12.27,0.34,0.64,22,3,0,3,5,17,1,0,0.26,0.08,0.0,1,0,0,18
565,19.02,124.49,19.0,9.85,203,65,14,64,30,94,50,21,3.41,6.62,8.97,2,6,8,165
566,10.88,26.01,2.41,1.91,48,5,1,7,5,28,6,2,1.06,0.86,0.48,0,2,0,36
567,9.08,104.9,8.39,6.55,178,11,13,24,10,105,32,7,2.73,3.86,1.8,3,2,0,144
568,10.28,43.06,4.32,2.75,78,10,4,8,6,36,18,5,1.02,1.98,1.32,1,1,0,59
569,21.6,67.57,5.93,4.33,147,11,4,42,27,79,8,8,1.82,1.06,3.05,2,0,2,95
570,18.7,139.39,15.79,9.6,258,28,15,14,32,121,56,13,4.37,6.91,4.51,5,8,3,190
571,21.25,88.03,3.34,4.6,188,13,7,24,31,121,4,1,2.38,0.36,0.6,5,1,0,126
572,13.49,23.27,2.73,1.91,41,3,0,5,9,18,10,3,0.8,1.14,0.79,1,0,1,31
573,11.21,46.64,5.43,3.71,83,8,2,12,7,42,16,6,1.7,2.09,1.65,2,1,1,64
574,16.11,75.11,4.13,4.55,200,18,7,28,48,100,9,1,2.41,1.05,0.67,2,0,0,110
