name,minutes/game,games_played,icetime,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
Julien Gauthier,10.31,49,30303,74.74,10.37,6.17,110,7,7,15,14,47,36,13,1.64,4.6,4.14,0,1,2,96
Jack Studnicka,12.60,15,11340,22.21,1.74,1.77,37,3,1,3,11,26,3,1,1.01,0.39,0.34,0,0,0,30
Brandon Saad,16.27,78,76150,147.09,20.75,11.65,236,49,14,45,25,122,56,20,4.92,7.11,8.72,6,10,8,198
Logan Shaw,9.38,17,9566,14.57,1.41,0.88,22,3,0,11,3,14,5,1,0.43,0.74,0.24,0,1,0,20
Mike Hardman,9.30,21,11719,14.03,1.65,1.04,25,2,1,5,5,8,10,1,0.24,1.19,0.23,0,0,0,19
Jamie Benn,16.75,82,82396,185.23,23.58,13.53,317,46,19,37,47,158,64,28,4.97,7.66,10.95,4,7,7,250
Ben McCartney,14.04,2,1685,2.06,0.18,0.13,4,0,0,0,0,2,1,0,0.09,0.09,0,0,0,0,3
Markus Niemelainen,13.19,20,15833,10.14,0.42,0.6,26,1,0,4,10,14,1,0,0.23,0.19,0,0,0,0,15
Blake Wheeler,19.54,65,76201,158.78,21.04,12.52,263,60,11,32,36,124,57,29,4.64,7.31,9.1,3,5,9,210
Brad Richardson,10.30,44,27198,34.68,3.49,2.31,69,8,2,7,9,33,10,5,0.95,1.07,1.48,0,2,2,48
Ethan Bear,16.08,58,55959,89.35,4.05,5.2,186,14,10,16,28,120,7,2,2.61,0.87,0.57,4,0,1,129
Frederik Gauthier,11.10,8,5326,2.96,0.15,0.14,5,0,0,0,3,4,0,0,0.15,0,0,0,0,0,4
Alexander Barabanov,17.18,70,72159,101.1,11.44,7.78,166,39,8,40,30,83,44,9,3.14,5.3,3,2,6,2,136
Colton Sceviour,9.47,35,19894,38.18,3.07,2.4,60,5,2,9,10,37,15,1,1.06,1.76,0.25,0,2,0,53
Matthew Peca,9.63,5,2890,2.62,0.13,0.17,8,1,0,0,2,3,1,0,0.05,0.08,0,0,0,0,4
Ian Cole,17.15,75,77184,82.59,2.78,4.69,180,19,8,29,48,119,1,1,2.48,0.09,0.22,2,0,0,121
Cole Smith,8.84,8,4241,3.28,0.26,0.31,6,0,0,3,2,4,0,0,0.26,0,0,0,0,0,4
Ethan Prow,12.74,4,3057,1.47,0.24,0.08,3,1,0,0,2,1,0,1,0.01,0,0.23,0,0,1,2
Jeff Carter,17.67,76,80579,182.18,22.52,12.95,315,45,18,33,39,164,56,25,4.89,6.96,10.67,3,9,7,245
Sam Bennett,16.94,71,72178,216.87,27.06,16.27,398,49,14,41,49,184,82,26,6.32,10.63,10.11,7,10,11,292
Michael Eyssimont,5.82,1,349,0.68,0.02,0.04,1,0,0,1,0,1,0,0,0.02,0,0,0,0,0,1
Seth Griffith,5.62,1,337,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kirby Dach,18.04,70,75786,116.34,12.75,8.77,198,26,8,42,17,105,39,13,3.26,4.98,4.51,4,3,2,157
Nathan Beaulieu,10.77,24,15509,25.32,1.02,1.53,52,4,4,0,17,35,3,0,0.69,0.32,0,0,0,0,38
Derrick Pouliot,15.50,11,10231,11.72,0.49,0.65,30,4,0,3,10,15,2,0,0.27,0.23,0,0,0,0,17
Brett Pesce,21.70,70,91143,143.8,5.93,8.26,304,28,14,45,29,197,8,4,4,0.89,1.05,5,2,0,209
Andreas Johnsson,14.36,71,61183,108.12,12.8,7.87,179,35,9,26,24,78,56,11,2.61,6.53,3.66,3,6,4,145
Austin Strand,15.29,8,7339,6.05,0.24,0.35,14,2,2,2,4,8,1,0,0.16,0.09,0,0,0,0,9
Lars Eller,16.12,72,69635,123.35,10.79,8.41,213,31,9,37,44,126,37,7,4.35,4.66,1.78,7,6,0,170
Sebastian Aho,18.95,79,89841,240,37.6,19.21,402,81,29,68,56,175,113,41,6.22,14.18,17.2,5,14,18,329
Brock McGinn,15.00,64,57581,95.22,12.56,6.42,157,22,8,18,19,81,35,12,2.99,4.49,5.08,2,5,5,128
Nate Thompson,11.97,33,23700,25.66,3.07,1.77,41,3,2,8,7,23,6,6,0.84,0.75,1.48,0,0,1,35
Brady Skjei,21.14,82,104020,174.72,8.79,10.17,330,39,17,51,62,234,13,6,5.42,1.58,1.79,7,2,0,253
Johnny Gaudreau,18.57,82,91388,253.32,27.93,18.21,463,115,19,50,81,249,74,25,8,8.89,11.04,10,16,14,348
Leo Komarov,10.83,1,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan Stanley,15.64,58,54442,86.07,2.98,4.93,180,13,4,13,56,125,3,0,2.61,0.37,0,1,0,0,128
Nick Bjugstad,10.26,57,35091,81.37,10.12,5.96,130,13,11,18,13,68,26,13,2.37,3.39,4.36,2,2,3,107
Juuso Riikola,13.39,5,4016,5.3,0.31,0.34,14,1,0,0,1,7,1,0,0.11,0.2,0,0,0,0,8
Tanner Kero,9.56,23,13197,13.37,1.16,0.97,26,3,0,6,7,13,4,1,0.48,0.41,0.28,0,0,0,18
Ty Dellandrea,10.62,1,637,1.43,0.02,0.07,2,0,0,0,0,2,0,0,0.02,0,0,0,0,0,2
Jack McBain,14.18,10,8505,15.47,1.85,1.32,24,3,6,2,5,13,7,1,0.53,1.05,0.28,1,1,0,21
Leon Draisaitl,22.35,80,107276,291.76,42.54,21.7,482,110,21,74,88,214,124,49,7.4,14.67,20.47,7,19,29,387
Adam Erne,13.39,79,63446,101.94,10.71,7.58,176,19,11,24,20,93,37,9,3.05,4.55,3.11,2,1,3,139
Jeff Petry,22.12,68,90254,109.53,4.57,6.85,266,27,7,12,107,153,4,3,3.19,0.47,0.91,5,1,0,160
Olli Maatta,18.28,66,72401,59.83,2.44,3.4,139,8,3,10,37,82,3,2,1.65,0.33,0.46,0,1,0,87
Martin Kaut,8.81,6,3171,1.46,0.06,0.11,4,0,0,1,0,2,0,0,0.06,0,0,0,0,0,2
Gabriel Landeskog,20.32,51,62172,141.83,21.84,12.05,251,59,14,17,29,108,59,27,3.46,7.19,11.19,7,11,12,194
MacKenzie Weegar,23.37,80,112188,188.46,11.21,11.91,391,44,11,74,85,241,26,4,6.59,3.13,1.49,4,3,1,271
Reese Johnson,10.51,31,19557,22.68,1.71,1.45,42,5,1,11,6,26,5,1,0.99,0.51,0.21,0,1,0,32
Madison Bowey,15.73,2,1888,0.72,0.02,0.04,3,0,0,0,0,1,0,0,0.02,0,0,0,0,0,1
Colton Sissons,16.16,79,76609,94.47,12.37,6.84,163,28,6,19,25,80,38,16,2.55,4.55,5.27,2,1,4,134
Brett Howden,10.66,47,30049,41.65,6.35,3.38,69,20,7,13,14,30,23,7,1.23,2.92,2.21,3,3,3,60
Kieffer Bellows,11.86,45,32034,79.14,6.24,5.41,147,19,6,6,26,90,14,4,3.32,1.52,1.4,4,2,0,108
Mikko Rantanen,20.97,75,94355,260.73,30.68,19.51,459,92,19,48,49,256,76,32,8.87,8.92,12.89,8,11,17,364
Zack MacEwen,9.66,75,43485,88.09,8.69,5.97,145,9,7,22,16,85,27,9,2.8,3.37,2.52,1,1,1,121
Dylan Larkin,19.66,71,83740,209.22,23.52,15.46,385,69,19,38,42,189,65,27,6.15,8.24,9.13,9,12,10,281
Andrew Poturalski,10.14,2,1217,3.73,0.33,0.24,5,2,1,0,1,3,2,0,0.15,0.17,0,0,0,0,5
Alex Vlasic,14.31,15,12878,12.43,0.35,0.67,21,2,3,5,5,18,0,0,0.35,0,0,1,0,0,18
Joey Anderson,8.77,5,2632,8.71,0.66,0.69,15,0,2,2,0,8,4,0,0.29,0.37,0,0,0,0,12
Samuel Girard,21.64,67,86999,79.35,3.14,4.59,188,28,5,21,28,111,4,1,2.22,0.45,0.47,3,1,1,116
Sampo Ranta,10.89,10,6536,9.33,0.85,0.67,20,0,0,4,1,11,2,1,0.33,0.21,0.31,0,0,0,14
Daniil Miromanov,9.78,11,6457,13.94,0.56,0.81,32,1,1,1,2,21,0,0,0.56,0,0,0,0,0,21
Anton Lundell,15.74,65,61375,126.59,15.84,8.71,223,44,9,59,35,112,42,17,4.66,5.26,5.93,5,7,6,171
Drake Batherson,18.93,46,52243,110.37,11.66,8.8,189,44,11,21,30,91,53,5,3.21,6.54,1.91,6,7,4,149
Brayden Schenn,17.78,62,66145,111.09,17.92,8.41,197,58,10,42,28,81,52,19,3.45,6.29,8.18,6,8,10,152
Kyle Turris,8.62,23,11898,20.63,1.55,1.18,43,4,0,9,5,25,2,2,0.87,0.17,0.51,0,0,1,29
William Lockwood,11.34,13,8845,14.82,1.75,1.01,24,0,0,1,2,10,8,2,0.33,0.88,0.55,0,0,0,20
Filip Forsberg,18.10,69,74925,241.7,26.94,17.58,424,84,16,53,56,220,89,24,8.31,10.59,8.03,11,20,11,333
Gustav Forsling,21.22,71,90389,132.27,7.9,7.88,296,37,5,51,53,171,18,3,4.47,2.14,1.29,6,2,2,192
Thomas Bordeleau,15.59,8,7483,15.06,1.38,1.09,25,5,1,9,8,16,4,1,0.7,0.45,0.23,0,0,0,21
Carl Grundstrom,10.89,54,35283,84.27,8.8,5.61,139,15,4,13,9,72,36,6,2.19,4.09,2.52,1,6,2,114
Shane Pinto,12.95,5,3886,8.12,0.95,0.78,15,1,0,2,5,4,7,0,0.18,0.77,0,0,0,0,11
David Perron,16.99,67,68285,166.23,18.36,11.77,319,57,17,37,18,165,52,14,5.7,6,6.67,11,7,9,231
