,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
209,Gustav Lindstrm,15.28095238,14.5,1.08,0.78,25,4,0,1,9,19,1,1,0.42,0.13,0.53,1,1,1,21
210,Bobby Brink,14.70380952,49.4,4.63,3.88,98,18,8,6,10,49,16,4,1.35,1.88,1.4,1,4,2,69
211,Liam O'Brien,10.18245614,35.01,4.52,2.19,65,7,4,0,10,33,11,5,0.89,1.26,2.37,1,0,2,49
212,Sammy Walker,9.3625,3.11,0.2,0.13,5,0,0,0,0,3,1,0,0.04,0.15,0.0,0,0,0,4
213,Teddy Blueger,15.32628205,40.0,5.32,2.88,60,16,6,19,12,26,17,8,0.83,2.2,2.29,0,4,1,51
214,Nikita Okhotiuk,17.41904762,36.05,1.43,2.01,78,6,4,9,15,48,1,2,0.86,0.09,0.49,0,0,0,51
215,Christian Dvorak,15.94066667,30.54,3.91,2.36,57,7,4,9,12,26,9,6,0.65,1.18,2.08,1,0,2,41
216,Urho Vaakanainen,16.01612903,31.25,0.74,1.31,67,6,5,6,16,43,0,0,0.74,0.0,0.0,0,0,0,43
217,Brady Skjei,21.22916667,95.26,5.19,5.09,218,24,11,17,14,116,12,3,2.55,1.36,1.27,3,1,2,131
218,Mats Zuccarello,18.59888889,76.63,5.96,5.84,144,29,6,16,21,81,23,3,2.32,2.91,0.74,1,4,1,107
219,Alex Nylander,13.87333333,9.28,1.1,0.71,16,0,0,0,2,9,2,2,0.31,0.26,0.54,0,0,0,13
220,Brett Howden,12.85877193,35.38,4.95,2.38,61,11,4,10,10,28,13,7,1.0,1.77,2.18,1,1,2,48
221,Mike Reilly,16.2468254,51.51,2.15,2.56,91,8,5,3,11,67,3,2,1.23,0.41,0.51,2,1,0,72
222,Hudson Fasching,11.94876543,24.68,2.93,1.6,39,6,5,13,5,15,13,3,0.38,1.51,1.04,1,1,0,31
223,Kirill Marchenko,16.53290598,97.48,9.23,6.9,183,22,9,23,11,93,31,6,3.03,3.72,2.48,5,4,4,130
224,Brandon Carlo,20.27649573,48.66,1.53,2.6,96,10,2,12,10,68,3,0,1.25,0.28,0.0,1,1,0,71
225,Tye Kartye,12.16052632,71.76,7.63,4.92,129,12,4,14,3,70,20,10,2.41,2.49,2.73,2,2,2,100
226,Jacob Lucchini,10.40833333,2.49,0.15,0.15,5,0,0,0,0,4,0,0,0.15,0.0,0.0,0,0,0,4
227,Juuso Valimaki,18.69111111,29.9,1.48,1.83,58,6,1,4,12,38,5,0,0.81,0.67,0.0,0,0,0,43
228,Eetu Luostarinen,16.26880342,64.21,9.31,4.72,118,10,6,21,11,55,19,15,1.81,2.51,4.98,2,2,3,89
229,Carson Soucy,17.21777778,14.33,1.24,0.85,33,6,1,3,2,17,1,2,0.41,0.17,0.66,1,0,1,20
230,Mark Scheifele,20.73803419,87.09,12.83,6.67,144,40,8,22,12,76,30,14,2.94,3.65,6.24,1,7,6,120
231,Timo Meier,16.71666667,94.59,10.9,6.73,166,15,9,12,11,93,17,17,2.68,2.42,5.81,2,3,4,127
232,Brennan Othmann,9.083333333,4.97,0.21,0.34,9,0,0,0,0,7,0,0,0.21,0.0,0.0,0,0,0,7
233,Corey Perry,14.653125,23.34,3.52,2.32,40,9,4,6,8,23,6,4,0.67,0.91,1.94,1,2,1,33
234,Joona Koppanen,7.422222222,1.36,0.07,0.08,2,0,0,0,0,2,0,0,0.07,0.0,0.0,0,0,0,2
235,Brandon Tanev,14.97826087,32.03,4.79,2.18,52,4,3,14,7,25,11,7,0.82,1.65,2.31,0,1,2,43
236,Morgan Rielly,24.52657658,89.7,5.37,5.09,185,30,13,13,34,106,13,4,2.43,1.47,1.47,1,1,2,123
237,Andrew Mangiapane,15.42649573,72.03,10.44,5.42,124,24,4,11,11,55,28,15,1.91,3.23,5.3,0,4,4,98
238,Rafael Harvey-Pinard,13.15128205,16.06,2.85,1.18,25,4,0,1,3,8,6,6,0.29,0.72,1.83,0,0,0,20
239,David Kampf,13.18842593,36.28,3.67,2.25,64,7,3,7,9,33,14,1,0.9,1.84,0.94,0,3,1,48
240,Steven Stamkos,18.53947368,123.97,13.82,8.93,223,38,12,9,22,112,50,10,3.69,5.95,4.19,5,5,6,172
241,Andre Burakovsky,13.89,17.67,1.07,1.18,39,4,2,2,2,21,4,0,0.62,0.45,0.0,0,1,0,25
242,Kevin Korchinski,19.9377451,39.8,1.51,1.96,95,8,1,11,35,52,2,1,0.93,0.3,0.28,2,0,0,55
243,Dmitry Kulikov,17.03703704,40.57,2.69,2.4,99,9,2,10,21,52,2,4,1.25,0.21,1.23,0,0,0,58
244,Andrew Peeke,16.94615385,14.91,0.33,0.76,35,4,1,3,6,21,0,0,0.33,0.0,0.0,0,0,0,21
245,Alexander Alexeyev,11.69,6.22,0.13,0.3,14,1,1,0,5,9,0,0,0.13,0.0,0.0,1,0,0,9
246,Luke Kunin,14.96380952,51.76,6.47,3.81,86,7,9,7,8,40,15,13,1.24,1.8,3.43,1,1,3,68
247,Jake Guentzel,20.79401709,154.31,22.69,12.61,263,44,18,14,18,118,64,25,4.65,8.45,9.59,5,8,5,207
248,Marcus Foligno,14.67268519,38.0,5.5,2.88,72,15,3,13,13,29,19,7,0.97,2.25,2.27,1,3,2,55
249,Esa Lindell,19.96965812,52.09,2.62,2.52,112,14,3,15,15,64,3,4,1.26,0.35,1.01,3,0,0,71
250,T.J. Oshie,16.57380952,47.39,6.56,3.94,86,4,6,15,8,44,16,8,1.38,1.94,3.24,0,1,1,68
251,Jonas Siegenthaler,19.90701754,44.48,1.63,2.15,104,8,3,7,25,61,1,1,1.21,0.09,0.34,1,0,0,63
252,Oskar Lindblom,11.93333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
253,Jackson LaCombe,19.61666667,31.43,1.38,2.04,63,4,2,13,16,44,1,0,1.24,0.14,0.0,0,0,0,45
254,Justin Barron,19.20972222,51.07,3.21,3.16,107,11,3,4,24,64,5,3,1.61,0.81,0.79,1,3,2,72
255,Jiri Kulich,14.88333333,0.66,0.01,0.04,1,0,0,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1
256,Joe Pavelski,16.59871795,86.98,12.06,7.45,151,35,14,14,27,61,49,12,1.84,5.66,4.56,3,6,6,122
257,Alex Iafallo,16.55299145,81.12,9.52,5.93,141,17,9,19,10,86,18,13,2.61,2.38,4.53,3,2,2,117
258,Nicklas Backstrom,14.55833333,12.68,1.47,1.29,17,1,3,5,3,10,3,3,0.3,0.36,0.8,0,0,0,16
259,Kirill Kaprizov,21.10931373,123.45,13.58,9.31,253,34,12,11,36,116,42,13,3.35,5.35,4.88,1,6,6,171
260,Colin Miller,14.75701754,28.38,0.93,1.65,70,4,4,5,8,40,1,0,0.83,0.1,0.0,2,0,0,41
261,Joey Anderson,13.34487179,12.13,1.39,0.79,25,5,2,15,6,13,2,2,0.43,0.35,0.61,0,0,0,17
262,Mattias Janmark,12.91025641,30.86,4.46,2.29,49,5,0,4,7,19,13,8,0.72,1.71,2.04,0,1,0,40
263,Louie Belpedio,13.20277778,10.43,0.49,0.61,21,4,2,4,2,13,1,0,0.4,0.09,0.0,2,0,0,14
264,Adam Boqvist,17.28333333,18.38,1.03,1.15,35,5,0,4,6,24,1,1,0.63,0.11,0.29,0,0,0,26
265,Nate Schmidt,16.83232323,37.0,1.44,2.08,86,5,4,10,19,49,1,1,1.1,0.1,0.24,1,0,0,51
266,Adam Pelech,19.63125,17.89,0.52,0.78,43,3,0,4,3,24,1,0,0.37,0.15,0.0,0,0,0,25
267,Niko Mikkola,20.14615385,52.07,2.72,2.82,108,12,3,5,17,63,5,3,1.22,0.6,0.89,2,1,0,71
268,Colin Blackwell,15.34666667,23.57,2.32,1.34,42,5,1,3,4,22,8,3,0.43,0.84,1.05,1,1,1,33
269,Nico Hischier,18.04259259,59.77,11.14,5.01,107,21,10,13,10,35,29,18,1.33,3.63,6.19,2,3,6,82
270,Milos Kelemen,7.681666667,5.37,0.61,0.46,12,1,0,1,1,5,3,0,0.23,0.38,0.0,0,0,0,8
271,Graeme Clarke,9.533333333,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
272,Dylan Guenther,14.91666667,3.06,0.3,0.2,5,1,0,0,1,2,2,0,0.06,0.24,0.0,0,1,0,4
273,Danil Gushchin,14.95,3.79,0.32,0.24,6,1,1,2,0,4,2,0,0.12,0.2,0.0,0,0,0,6
274,Jakub Vrana,12.23083333,38.14,2.9,2.63,66,6,2,4,3,40,10,1,1.44,1.23,0.23,2,0,0,51
275,Colton Parayko,23.69692982,66.27,3.01,3.49,149,12,5,21,14,88,5,1,1.69,0.7,0.62,5,2,0,94
276,Kirby Dach,13.01666667,2.48,0.3,0.16,5,2,0,1,0,1,2,0,0.01,0.29,0.0,0,0,0,3
277,Darren Raddysh,18.97804878,57.84,2.48,3.24,130,12,6,6,13,77,5,1,1.49,0.69,0.31,0,2,0,83
278,Cody Ceci,19.95046296,40.76,2.07,2.03,90,10,5,8,7,51,4,1,1.3,0.52,0.25,0,0,0,56
279,Luke Evangelista,13.6974359,68.24,7.25,5.53,111,19,5,22,26,60,17,12,1.98,2.13,3.13,2,2,3,89
280,Jordan Kyrou,18.3495614,134.1,10.48,8.24,247,27,15,22,24,147,28,7,4.33,3.33,2.83,1,6,2,182
281,Hardy Haman Aktell,10.63055556,5.63,0.18,0.34,14,1,0,1,2,8,0,0,0.18,0.0,0.0,0,0,0,8
282,Jeremy Lauzon,17.7825,49.13,2.23,2.42,110,5,5,8,13,65,1,3,1.12,0.17,0.94,3,0,0,69
283,Drew Doughty,26.05509259,62.72,3.38,4.31,143,20,6,8,27,82,7,2,1.81,0.85,0.71,5,1,1,91
284,Blake Lizotte,11.48722222,40.1,4.93,2.73,71,9,8,4,8,34,13,8,1.09,1.56,2.28,2,1,2,55
285,Erik Karlsson,24.37222222,97.74,5.85,5.8,256,28,9,27,40,126,8,4,3.08,0.84,1.92,6,0,1,138
286,Cole Caufield,19.19188034,149.55,13.84,10.74,273,27,13,17,15,149,46,11,4.75,5.25,3.84,2,5,4,206
287,Andrew Copp,16.91709402,65.56,9.67,4.6,103,18,4,12,20,54,20,14,1.73,2.69,5.25,1,1,3,88
288,Jaccob Slavin,21.02791667,94.23,3.27,4.63,188,19,15,31,18,121,7,1,2.17,0.78,0.32,2,2,0,129
289,John Tavares,18.48513514,148.0,20.7,12.66,238,34,23,18,22,115,46,30,4.0,6.4,10.3,3,2,7,191
290,Jonas Brodin,23.98866667,46.04,2.6,2.67,100,9,2,9,12,54,10,1,1.21,1.09,0.29,1,0,0,65
291,Kyle Connor,20.18141026,99.82,10.92,6.81,178,28,4,12,12,94,35,8,3.38,3.85,3.69,6,6,5,137
292,Nicholas Robertson,10.53472222,36.62,3.55,2.38,65,11,2,6,13,36,9,4,1.07,1.24,1.24,2,2,1,49
293,Matthew Kessel,17.41111111,1.41,0.04,0.05,4,0,0,1,0,2,0,0,0.04,0.0,0.0,0,0,0,2
294,Joel Edmundson,16.42608696,22.61,0.95,1.16,54,2,2,3,11,29,3,0,0.5,0.45,0.0,1,0,0,32
295,Alex Newhook,16.57173913,32.13,3.64,2.54,66,13,2,8,19,27,17,2,0.92,2.29,0.44,3,4,0,46
296,Matt Grzelcyk,17.57066667,32.97,1.26,1.83,70,5,2,2,5,45,3,0,0.88,0.38,0.0,1,0,0,48
297,Grant Hutton,8.766666667,0.59,0.02,0.04,1,0,0,0,0,1,0,0,0.02,0.0,0.0,0,0,0,1
298,Bryan Rust,18.56730769,86.7,10.01,6.57,139,22,9,17,14,82,28,10,2.8,3.44,3.76,5,4,1,120
299,Neal Pionk,20.48547009,70.51,3.62,4.21,151,16,9,20,24,95,6,2,2.21,0.68,0.72,3,0,0,103
300,Reilly Smith,16.56367521,86.16,10.01,6.61,139,20,8,17,19,72,23,17,2.33,2.8,4.88,2,4,2,112
301,Sam Steel,12.85637255,44.29,5.81,2.82,75,11,2,5,6,35,18,7,0.91,2.29,2.62,1,1,1,60
302,Pierre-Luc Dubois,15.94305556,81.96,11.23,7.13,136,16,17,5,16,62,32,17,2.2,3.81,5.22,2,3,2,111
303,Alex Barr-Boulet,11.64388889,43.33,6.06,3.12,71,9,0,14,9,35,20,5,1.4,2.63,2.02,0,4,2,60
304,Warren Foegele,13.6287037,93.57,11.79,6.61,159,19,15,24,19,76,29,18,2.6,3.91,5.28,4,2,1,123
305,Joel Armia,14.06014493,39.48,2.32,2.14,66,6,2,12,7,46,7,1,1.26,0.77,0.29,5,1,0,54
306,Brendan Lemieux,7.404761905,12.71,1.23,0.86,26,3,1,0,1,12,5,1,0.38,0.57,0.29,1,0,1,18
307,Kevin Labanc,12.03392857,37.65,3.17,2.44,67,6,3,1,5,45,5,4,1.31,0.49,1.37,1,0,0,54
308,Keegan Kolesar,11.01801802,35.13,3.72,2.65,66,8,5,6,8,35,13,3,1.23,1.65,0.83,1,1,0,51
309,Travis Konecny,19.31333333,143.64,15.37,9.61,244,36,15,26,16,132,47,14,4.07,5.78,5.52,9,9,3,193
310,Jacob Moverare,14.85,5.34,0.17,0.28,11,0,1,0,1,8,0,0,0.17,0.0,0.0,0,0,0,8
311,Ivan Provorov,23.05528455,51.84,2.91,3.31,118,21,5,7,23,66,7,2,1.34,0.84,0.72,1,1,0,75
312,Cam Atkinson,17.06709402,109.47,12.3,7.48,181,18,16,13,14,101,28,18,2.77,3.55,5.98,1,3,4,147
313,Morgan Geekie,15.38383838,62.37,7.37,4.35,105,18,9,15,12,52,22,9,1.71,2.52,3.14,3,2,3,83
314,Adam Edstrom,9.65,2.23,0.37,0.21,3,1,0,1,1,0,3,0,0.0,0.37,0.0,0,1,0,3
315,Evan Bouchard,22.70324074,94.91,5.29,6.36,215,39,10,23,34,126,9,3,3.39,1.07,0.83,8,0,1,138
316,Samuel Bolduc,12.96436782,31.27,0.84,1.45,61,3,4,1,8,44,0,0,0.84,0.0,0.0,1,0,0,44
317,Justin Sourdif,8.838888889,1.5,0.15,0.08,2,0,0,0,1,1,1,0,0.01,0.13,0.0,0,0,0,2
318,Jalen Chatfield,14.85428571,48.67,1.87,2.45,102,10,2,11,14,63,4,1,1.16,0.49,0.22,2,1,1,68
319,Arber Xhekaj,14.74509804,16.0,0.43,0.91,52,3,0,1,15,23,0,0,0.43,0.0,0.0,1,0,0,23
320,Ryan Carpenter,11.66449275,23.95,2.36,1.54,39,5,1,6,3,25,5,4,0.67,0.53,1.17,1,0,0,34
321,Kiefer Sherwood,12.17285714,61.98,4.97,3.85,109,11,3,17,7,64,18,4,1.83,2.17,0.98,3,2,0,86
322,Andrew Poturalski,6.875,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
323,Parker Kelly,10.94809524,36.01,3.59,2.31,65,7,1,12,4,35,10,4,1.06,1.34,1.19,0,3,1,49
324,Ivan Barbashev,14.98375,59.57,8.34,4.56,99,19,10,11,19,39,33,10,1.55,4.01,2.78,0,6,3,82
325,Jacob Trouba,21.99316239,64.94,4.02,3.86,153,16,9,8,24,81,11,1,1.78,1.35,0.89,1,1,1,93
326,Travis Dermott,17.18913043,20.86,1.07,1.18,44,2,0,2,5,27,1,1,0.65,0.12,0.3,0,0,0,29
327,Josh Manson,17.52522523,55.73,3.15,2.94,128,12,3,24,23,72,6,2,1.73,0.68,0.75,3,1,1,80
328,Gabriel Vilardi,16.85952381,55.52,8.37,5.01,86,17,12,10,4,39,25,10,1.47,3.36,3.54,3,2,3,74
329,Nathan Walker,8.108333333,3.11,0.33,0.24,5,1,1,1,0,2,2,0,0.06,0.27,0.0,1,0,0,4
330,Alex Laferriere,12.99666667,75.74,6.81,4.96,142,10,7,11,11,79,21,6,2.55,2.51,1.74,1,3,1,106
331,Radko Gudas,18.275,57.01,1.78,2.94,121,10,6,6,25,81,1,0,1.68,0.1,0.0,4,1,0,82
332,Drew O'Connor,14.54786325,73.51,9.2,5.67,124,14,15,15,10,52,32,13,1.75,4.05,3.39,1,3,1,97
333,Ryan Lomberg,9.436324786,45.28,3.57,2.96,80,3,7,7,7,49,11,2,1.35,1.4,0.82,2,0,0,62
334,Robby Fabbri,13.52321429,40.57,7.45,2.92,59,18,2,9,10,25,15,12,0.84,1.89,4.72,2,4,5,52
335,Nikolas Matinpalo,7.004166667,2.07,0.03,0.07,7,0,0,0,1,3,0,0,0.03,0.0,0.0,0,0,0,3
336,Cole McWard,9.083333333,0.3,0.01,0.07,4,0,0,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1
337,Jacob Peterson,13.25,3.36,0.66,0.28,5,0,1,0,0,3,1,1,0.12,0.15,0.39,0,0,0,5
338,Riley Tufte,11.12,7.53,0.65,0.51,11,2,1,2,1,7,3,0,0.25,0.41,0.0,0,1,0,10
339,Ryan Poehling,13.74190476,41.03,3.53,2.94,69,11,4,9,4,41,11,5,1.18,1.12,1.23,0,2,2,57
340,Kyle Palmieri,17.2465812,86.97,10.48,6.89,146,21,14,8,19,79,25,12,2.58,3.23,4.67,2,3,4,116
341,Trevor Zegras,18.13508772,51.88,5.26,3.6,89,7,4,12,12,51,16,4,1.46,1.89,1.9,2,1,1,71
342,Jason Polin,4.366666667,0.76,0.04,0.05,1,0,0,0,0,1,0,0,0.04,0.0,0.0,0,0,0,1
343,Connor Dewar,10.94529915,38.94,4.53,2.85,73,8,2,11,3,30,18,4,1.21,2.38,0.95,0,6,0,52
344,Jamie Drysdale,21.58833333,22.45,1.07,1.37,52,5,3,0,4,32,0,1,0.81,0.0,0.26,1,0,0,33
345,Jack Thompson,11.65,0.74,0.01,0.03,1,0,0,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1
346,MacKenzie Weegar,22.08208333,93.58,3.43,5.47,213,24,10,17,39,127,6,0,2.67,0.76,0.0,9,0,0,133
347,Jacob MacDonald,11.9,33.02,3.83,2.32,60,7,2,5,1,30,11,5,1.08,1.17,1.58,2,2,2,46
348,Reese Johnson,11.33641975,26.69,2.98,1.67,49,2,1,7,5,27,5,4,0.84,0.6,1.54,1,0,1,36
349,Elias Pettersson,19.67291667,107.17,14.48,8.0,198,52,12,25,14,107,24,19,3.53,2.93,8.01,9,3,7,150
350,Pavel Dorofeyev,12.9625,40.13,5.37,3.07,66,10,6,5,3,32,16,7,1.12,1.85,2.4,0,3,2,55
351,Michael Amadio,12.62649573,51.87,7.35,4.0,88,17,2,18,13,40,19,11,1.35,2.52,3.47,1,1,4,70
352,Ryan Lindgren,19.70219298,37.75,1.36,2.0,81,6,2,6,10,50,4,0,0.82,0.55,0.0,1,1,0,54
353,Bo Groulx,12.72954545,21.72,2.05,1.38,45,1,3,5,7,22,5,3,0.74,0.63,0.68,0,0,0,30
354,Johnny Gaudreau,18.94186992,76.88,7.94,5.24,150,25,3,13,17,78,20,8,2.48,2.44,3.02,2,3,2,106
355,Filip Roos,14.72916667,2.67,0.04,0.11,7,0,1,0,2,4,0,0,0.04,0.0,0.0,0,0,0,4
356,Ryan Reaves,7.334126984,11.05,1.09,0.74,19,1,0,4,5,8,5,1,0.15,0.66,0.28,0,1,0,14
357,Joe Veleno,15.71666667,57.2,7.63,4.28,95,16,8,15,6,48,20,8,1.66,2.67,3.3,4,3,1,76
358,Matias Maccelli,16.70745614,77.99,9.14,5.55,151,27,5,8,29,73,20,12,2.19,2.61,4.33,3,1,2,105
359,Mikhail Sergachev,22.92525253,53.43,2.72,3.5,140,19,6,7,18,77,0,3,1.69,0.0,1.03,2,0,0,80
360,Matt Benning,18.4797619,14.76,0.4,0.75,32,2,0,5,9,20,1,0,0.25,0.15,0.0,0,0,0,21
361,Brayden Pachal,14.60882353,16.83,0.65,0.85,46,1,2,2,6,23,1,0,0.48,0.18,0.0,1,0,0,24
362,Joel Farabee,15.48666667,83.39,8.2,5.66,134,30,8,11,13,79,23,11,2.13,2.75,3.32,3,7,2,113
363,Anze Kopitar,19.41203704,69.6,10.83,5.68,123,36,12,13,11,50,28,17,1.44,3.74,5.65,4,4,6,95
364,Pavel Zacha,18.63101852,66.89,8.59,5.77,112,24,8,14,12,52,31,10,2.0,3.6,2.99,4,4,1,93
365,Zach Aston-Reese,6.35,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
366,JJ Peterka,16.15833333,108.21,9.79,7.4,196,26,13,17,8,116,24,11,3.78,2.78,3.24,5,2,5,151
367,Nathan Bastian,9.708333333,33.73,4.28,2.43,62,6,3,5,3,27,13,6,0.85,1.85,1.58,0,0,1,46
368,Marco Rossi,16.64358974,81.51,9.53,6.23,132,24,8,16,13,67,33,9,2.4,4.29,2.83,5,5,2,109
369,David Gustafsson,9.054938272,21.26,1.85,1.41,37,4,0,5,4,20,8,1,0.63,0.9,0.32,1,1,0,29
370,Alex Pietrangelo,24.09333333,89.0,3.98,5.52,189,16,6,25,27,119,8,1,2.79,0.94,0.25,1,0,0,128
371,Torey Krug,21.76491228,82.27,4.55,5.33,182,18,10,18,22,104,7,5,2.4,0.83,1.32,1,0,0,116
372,Mikael Granlund,20.73383838,73.72,9.28,5.66,142,26,9,21,13,66,20,14,2.15,2.7,4.44,1,2,2,100
373,Nikolaj Ehlers,16.33589744,120.95,8.27,7.27,243,31,10,18,17,141,19,6,3.38,2.28,2.61,8,3,3,166
374,Kevin Fiala,17.27777778,119.73,12.51,8.59,210,33,13,19,28,106,40,13,3.05,4.98,4.48,0,6,4,159
375,Alexander Holtz,12.13201754,65.13,6.04,4.14,121,19,7,6,12,68,14,6,2.33,1.85,1.86,4,2,3,88
376,Vinni Lettieri,10.01842105,24.84,2.05,1.62,40,4,4,4,4,27,5,3,0.71,0.57,0.77,3,0,0,35
377,Calle Jarnkrok,15.21486486,73.14,10.72,5.29,122,19,13,7,6,59,20,18,1.93,2.41,6.39,2,4,4,97
378,Egor Zamula,15.94086022,27.73,1.19,1.49,74,10,0,7,12,37,1,1,0.81,0.09,0.29,2,0,1,39
379,John Carlson,25.57105263,84.63,5.08,5.66,196,23,11,24,49,109,10,3,2.81,1.29,0.99,2,1,0,122
380,Zac Jones,13.52051282,14.44,0.64,0.83,26,3,3,4,2,19,1,0,0.54,0.09,0.0,0,0,0,20
381,Erik Gudbranson,19.59504505,37.31,0.97,1.86,95,13,3,10,9,54,0,0,0.97,0.0,0.0,3,0,0,54
382,Trevor Lewis,11.35925926,63.39,6.87,3.67,101,8,7,8,8,58,17,9,1.2,2.17,3.5,1,3,1,84
383,Eric Robinson,12.33854167,22.45,3.46,1.75,45,5,5,6,2,14,9,7,0.44,1.05,1.98,0,1,1,30
384,Marc Del Gaizo,16.36666667,5.33,0.43,0.23,14,3,0,2,1,6,0,1,0.11,0.0,0.32,0,0,0,7
385,William Carrier,11.25909091,62.29,6.93,4.66,110,7,11,10,7,59,19,8,2.23,2.62,2.09,0,2,3,86
386,Shea Theodore,23.38416667,46.49,3.07,3.36,123,18,5,10,13,58,8,2,1.45,0.94,0.68,3,0,1,68
387,Kole Lind,5.983333333,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
388,Jack Roslovic,16.46578947,39.09,4.4,2.79,61,9,5,11,6,33,12,6,1.09,1.64,1.66,1,1,0,51
389,Ryan Winterton,8.2,2.13,0.06,0.12,3,0,0,2,1,3,0,0,0.06,0.0,0.0,0,0,0,3
390,Dawson Mercer,17.41359649,70.23,11.05,5.22,115,20,9,21,18,53,23,15,2.01,3.14,5.9,3,6,3,91
391,Alex Goligoski,15.36507937,19.12,1.21,1.17,47,6,2,2,7,22,4,1,0.49,0.51,0.22,0,0,0,27
392,Roope Hintz,17.1954955,90.07,12.71,6.75,150,35,8,9,14,76,32,15,2.74,4.11,5.86,3,8,5,123
393,Nikita Alexandrov,7.458333333,3.32,0.1,0.16,6,0,1,0,3,4,0,0,0.1,0.0,0.0,0,0,0,4
394,Matt Boldy,18.265625,103.71,10.51,7.97,210,24,12,25,23,100,32,11,3.0,3.54,3.97,2,7,4,143
395,Pierre-Olivier Joseph,14.12777778,11.96,0.37,0.62,31,2,0,2,9,16,1,0,0.23,0.14,0.0,0,0,0,17
396,Vladimir Tarasenko,16.21515152,68.21,6.56,5.2,126,24,9,8,6,66,20,5,1.96,2.65,1.95,2,3,3,91
397,Nick Leddy,22.15175439,40.44,1.98,2.39,82,10,6,19,14,51,7,0,1.24,0.75,0.0,1,1,0,58
398,Evander Kane,17.66952381,119.21,16.66,8.3,201,24,13,11,16,101,34,22,3.2,4.63,8.84,2,5,7,157
399,Victor Hedman,24.45726496,88.04,6.15,5.71,187,39,8,10,33,109,10,7,2.62,1.03,2.5,1,1,4,126
400,Rourke Chartier,10.764,21.88,2.4,1.67,36,2,4,7,11,16,10,2,0.45,1.47,0.47,1,0,0,28
401,Kaedan Korczak,16.48888889,17.16,0.58,0.88,45,7,1,4,8,24,0,0,0.58,0.0,0.0,1,0,0,24
402,Mikael Backlund,19.13041667,108.69,9.27,7.21,194,20,13,38,22,110,26,11,2.92,3.39,2.96,1,4,3,147
403,Aliaksei Protas,12.72747748,50.67,5.06,3.41,89,18,11,21,19,54,15,4,1.83,1.88,1.34,2,1,0,73
404,Brett Pesce,20.2484375,60.84,2.95,3.08,150,5,6,9,6,79,4,2,1.72,0.52,0.72,1,0,0,85
405,Mark Jankowski,12.93333333,4.71,0.79,0.33,8,1,0,1,0,3,2,1,0.12,0.22,0.45,0,0,1,6
406,Kevin Stenlund,12.6991453,35.49,4.62,2.41,70,9,4,17,7,36,9,4,1.21,1.23,2.18,4,1,2,49
407,Yegor Sharangovich,16.86375,93.05,9.68,6.71,174,25,5,9,18,94,28,8,3.07,3.46,3.14,4,4,4,130
408,Patrik Laine,15.21851852,48.15,3.44,3.17,89,9,4,9,14,55,10,1,2.04,1.12,0.28,3,2,1,66
409,Connor Zary,15.385,36.63,4.68,2.97,70,19,3,5,13,30,11,8,0.86,1.45,2.37,1,3,4,49
410,Tomas Tatar,12.1952381,37.5,4.65,2.84,68,14,3,7,7,26,19,5,0.91,2.35,1.39,1,2,1,50
411,Kevin Bahl,17.14342105,30.53,1.15,1.63,73,5,3,9,11,41,2,0,0.91,0.24,0.0,0,0,0,43
412,Jani Hakanp,18.91068376,31.58,0.8,1.5,87,7,3,10,20,45,0,0,0.8,0.0,0.0,1,0,0,45
413,Caleb Jones,12.65392157,11.88,1.03,0.82,27,3,1,2,5,14,1,2,0.34,0.12,0.57,0,0,0,17
414,Dylan Strome,17.55131579,79.17,10.11,5.95,140,24,8,18,16,65,32,10,2.51,4.23,3.36,6,4,5,107
415,Nick Bjugstad,17.64561404,88.74,11.45,6.59,145,21,11,14,10,80,27,12,2.77,3.8,4.89,1,1,4,119
416,Austin Watson,6.634166667,12.27,1.04,0.72,22,2,3,3,0,12,3,2,0.27,0.26,0.51,2,0,0,17
417,Jeff Skinner,17.46711712,132.58,14.05,10.04,241,31,18,23,15,118,52,11,3.93,6.32,3.8,5,7,4,181
418,Peyton Krebs,12.71578947,38.65,3.03,2.57,66,6,5,7,7,43,11,1,1.28,1.49,0.26,1,1,0,55
419,Ryan McDonagh,21.46616162,38.33,1.42,2.17,90,10,3,12,25,54,2,0,1.23,0.19,0.0,1,0,0,56
420,Jesse Ylnen,10.48333333,31.56,2.52,1.89,50,7,4,3,2,33,8,2,0.95,1.11,0.46,2,1,0,43
