,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
385,Jason Spezza,10.75,95.45,11.07,6.57,175,25,7,32,31,88,28,15,2.4,3.1,5.58,2,1,9,131
386,Chris Wagner,15.95,2.31,0.17,0.17,3,0,0,0,0,2,1,0,0.05,0.13,0.0,0,0,0,3
387,Mark Stone,18.34,69.34,11.04,5.99,118,30,6,56,29,56,20,18,2.09,2.68,6.27,1,2,6,94
388,Darren Raddysh,10.67,2.1,0.04,0.08,5,0,0,1,0,3,0,0,0.04,0.0,0.0,0,0,0,3
389,Nils Hoglander,13.11,123.77,14.08,9.29,190,18,15,25,25,102,47,15,3.56,5.66,4.86,4,1,5,164
390,Aleksander Barkov,20.3,206.05,28.66,15.54,340,88,20,59,51,150,96,28,5.32,12.2,11.15,7,15,17,274
391,Pierre-Edouard Bellemare,13.76,77.39,9.06,5.56,129,20,5,26,18,65,25,14,2.4,2.81,3.85,4,2,3,104
392,Denis Gurianov,14.19,145.79,13.82,10.01,281,31,13,12,46,146,41,12,4.46,4.69,4.68,4,3,4,199
393,Nazem Kadri,19.24,243.4,29.41,18.15,439,87,24,36,34,241,66,32,7.86,7.94,13.61,7,8,13,339
394,Matt Boldy,15.38,104.01,8.49,7.49,197,39,3,27,22,112,30,5,4.04,3.2,1.25,9,3,3,147
395,Claude Giroux,19.05,193.69,17.46,13.02,339,65,17,28,41,199,51,18,6.04,5.81,5.61,8,8,5,268
396,Connor McMichael,10.47,99.59,11.5,7.66,164,18,16,15,10,84,39,14,3.17,4.57,3.76,3,4,2,137
397,Zac Dalpe,6.13,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
398,Jake Leschyshyn,11.3,34.42,3.61,2.53,61,6,3,13,4,27,19,1,1.03,2.32,0.26,1,1,0,47
399,Mats Zuccarello,18.59,145.4,14.81,10.65,268,79,10,48,43,148,43,12,4.88,5.15,4.79,10,9,5,203
400,Jay Beagle,13.79,21.54,2.38,1.56,40,2,2,9,7,17,9,3,0.39,1.1,0.89,0,0,1,29
