,name,minutes/game,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_shotAttempts,I_F_points,I_F_rebounds,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_unblockedShotAttempts
710,Marcus Foligno,16.41,101.6,17.67,7.45,163,42,9,28,27,75,37,22,2.77,4.77,10.13,3,9,11,134
711,Warren Foegele,12.61,144.77,17.37,10.45,245,26,11,44,29,124,51,16,4.51,6.31,6.54,3,4,5,191
712,J.T. Miller,21.06,207.31,28.79,14.77,350,99,22,56,62,181,77,35,6.6,9.88,12.31,12,9,11,293
713,Cal Clutterbuck,14.04,67.88,6.97,4.54,113,15,2,21,14,67,21,7,2.19,2.25,2.52,2,1,3,95
714,Oliver Bjorkstrand,17.95,230.12,27.85,17.48,402,57,19,57,33,204,82,26,6.93,9.94,10.98,9,8,11,312
715,Antoine Roussel,12.14,61.81,6.95,4.37,103,8,7,9,16,54,23,8,1.92,2.95,2.08,0,2,2,85
716,Hendrix Lapierre,9.59,5.13,0.71,0.43,9,1,0,3,1,2,5,0,0.1,0.61,0.0,1,0,0,7
717,Vasily Podkolzin,12.79,115.78,11.14,7.62,191,26,5,32,18,107,41,9,3.65,4.59,2.9,8,3,3,157
718,Yakov Trenin,14.67,138.16,16.98,9.99,243,24,5,37,24,123,52,16,4.36,6.43,6.2,4,7,6,191
719,Riley Damiani,8.54,9.62,1.47,0.79,18,2,0,3,1,7,3,3,0.32,0.37,0.79,1,0,0,13
720,Phil Kessel,16.68,171.48,16.11,12.1,310,52,20,39,53,172,43,15,5.78,5.14,5.19,4,2,2,230
721,Roope Hintz,18.04,225.6,32.46,16.84,367,72,23,24,49,169,95,40,6.75,11.53,14.18,5,13,19,304
722,Taro Hirose,10.66,10.09,1.89,0.6,19,4,0,3,4,7,6,1,0.24,0.7,0.95,0,0,1,14
723,Nikita Zadorov,16.91,113.29,4.17,6.23,225,22,8,32,61,155,10,1,2.92,1.03,0.22,3,1,0,166
724,Nicholas Abruzzese,10.21,7.55,1.52,0.74,12,1,1,0,3,3,6,2,0.19,0.75,0.57,0,1,0,11
725,Lucas Raymond,18.16,168.91,21.34,13.1,287,57,17,26,36,126,75,23,4.35,9.82,7.17,4,10,9,224
726,Ivan Provorov,24.89,153.19,8.34,9.81,322,31,7,17,84,197,18,6,4.06,2.05,2.22,4,4,1,221
727,Jaret Anderson-Dolan,13.79,7.52,0.57,0.59,17,0,0,2,2,8,3,0,0.28,0.29,0.0,0,0,0,11
728,Alexis Lafreniere,14.0,110.18,11.4,7.69,193,31,4,44,28,112,32,9,3.92,4.01,3.48,6,10,3,153
729,Nicklas Backstrom,17.49,70.3,7.4,5.64,121,31,3,25,13,64,26,8,1.78,3.14,2.49,3,2,1,98
730,John Tavares,18.07,251.53,33.38,22.63,429,76,27,40,65,195,110,42,6.67,13.68,13.03,3,13,11,347
731,Auston Matthews,20.61,354.29,41.86,26.78,599,106,32,92,48,317,127,40,11.42,15.28,15.16,23,18,19,484
732,Jamie Drysdale,19.89,139.86,6.97,8.53,290,32,13,19,49,187,10,5,4.27,1.15,1.56,4,0,0,202
733,Erik Haula,15.09,134.95,16.08,9.53,217,44,6,25,21,113,52,19,3.73,6.35,6.0,5,8,5,184
734,Pierre Engvall,13.28,160.54,17.2,10.55,270,35,8,32,41,148,53,16,4.72,6.36,6.13,7,5,3,217
735,Matt Nieto,14.4,76.39,7.95,5.3,120,17,4,21,17,71,29,6,2.33,4.0,1.62,2,4,0,106
736,Andrew Ladd,14.12,58.57,8.46,4.7,107,12,5,17,26,47,24,9,1.42,3.32,3.72,1,3,3,80
737,Derek Stepan,10.8,92.97,10.65,6.19,145,19,10,22,13,82,29,13,2.76,3.87,4.02,2,5,2,124
738,Ross Colton,12.8,162.06,19.41,12.05,259,39,15,29,8,128,66,21,4.5,8.14,6.78,5,11,6,215
739,Jon Lizotte,14.72,0.71,0.03,0.04,1,0,0,0,0,1,0,0,0.03,0.0,0.0,0,0,0,1
740,Jonah Gadjovich,8.76,39.51,5.02,2.88,69,3,1,7,10,33,12,8,1.32,1.51,2.18,0,0,1,53
741,Timothy Liljegren,16.4,76.48,3.65,4.61,162,23,6,19,43,99,9,2,2.13,1.06,0.45,3,1,1,110
742,Alex Tuch,18.41,140.7,16.46,9.95,228,38,9,40,25,127,48,16,4.34,6.09,6.02,3,4,5,191
743,Dylan Cozens,15.89,155.55,16.17,10.87,265,38,13,33,30,139,52,19,4.52,6.15,5.5,2,5,6,210
744,Jordan Oesterle,18.29,54.25,1.9,2.85,101,8,2,6,17,75,2,0,1.68,0.22,0.0,1,1,0,77
745,Jake Walman,14.02,84.21,4.92,5.19,173,10,4,9,22,109,9,4,2.78,1.12,1.01,2,0,1,122
746,Nick Foligno,12.46,93.5,7.34,5.84,149,13,6,22,14,98,23,7,2.61,2.86,1.88,0,1,1,128
747,Robert Hagg,16.02,63.65,2.08,3.59,140,9,2,10,23,92,3,0,1.8,0.28,0.0,1,0,0,95
748,Duncan Keith,19.73,76.13,3.11,4.48,175,21,5,36,64,106,5,1,2.31,0.57,0.23,0,0,1,112
749,Tyler Pitlick,11.09,41.93,4.34,2.88,80,5,6,14,10,37,12,8,1.0,1.32,2.02,0,1,0,57
750,Zach Bogosian,15.36,51.55,2.26,3.15,108,8,3,7,16,73,3,0,1.89,0.37,0.0,2,1,0,76
751,Mike Reilly,18.95,119.92,5.5,7.49,230,17,5,19,35,169,7,2,4.18,0.81,0.51,3,0,1,178
752,Drew O'Connor,10.28,39.9,3.77,3.05,62,5,3,9,5,34,18,2,1.29,1.83,0.65,2,1,0,54
753,Jakob Chychrun,22.99,151.88,6.72,9.19,293,21,7,19,37,212,8,3,4.56,1.03,1.13,4,2,1,223
754,Ryan Hartman,18.18,246.02,26.13,17.51,421,65,21,35,30,252,66,23,8.22,8.28,9.63,15,10,9,341
755,Ryan Nugent-Hopkins,19.32,136.16,15.14,10.02,231,50,8,43,34,123,46,15,4.32,5.83,4.99,3,4,4,184
756,Justin Barron,17.18,10.55,0.51,0.54,18,2,1,2,3,13,2,0,0.29,0.22,0.0,1,0,0,15
757,Clayton Keller,20.14,167.7,20.52,12.37,274,63,16,61,53,161,40,27,5.35,4.84,10.33,8,6,14,228
758,Wyatt Kalynuk,12.0,3.49,0.12,0.15,7,0,0,1,2,5,0,0,0.12,0.0,0.0,0,0,0,5
759,Jakob Silfverberg,17.04,113.58,8.12,7.35,183,21,12,30,16,117,33,4,3.42,3.71,0.99,2,3,0,154
760,Zach Hyman,19.46,228.09,34.26,19.43,353,54,25,29,33,151,99,43,5.95,12.66,15.64,8,7,12,293
761,Kaedan Korczak,16.62,0.61,0.01,0.03,1,0,1,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1
762,Alexander Radulov,14.1,105.86,14.47,8.81,189,22,10,30,27,79,53,16,2.92,6.57,4.99,0,0,4,148
763,Oskar Lindblom,13.8,125.66,12.78,8.48,212,26,13,19,18,118,35,13,3.81,4.73,4.22,5,3,4,166
764,Kristians Rubins,11.75,3.48,0.34,0.28,6,0,0,0,3,3,2,0,0.07,0.28,0.0,0,0,0,5
765,Nick Blankenburg,17.57,10.05,0.37,0.65,24,3,0,1,0,15,0,0,0.37,0.0,0.0,1,0,0,15
766,Riley Barber,8.44,5.1,0.35,0.37,8,0,1,1,3,5,2,0,0.16,0.2,0.0,0,0,0,7
767,Kiefer Sherwood,8.57,7.44,0.84,0.48,14,2,0,4,1,7,2,1,0.33,0.31,0.2,0,1,0,10
768,Matthew Tkachuk,17.9,275.19,34.58,22.9,455,104,21,41,91,226,113,35,7.64,13.5,13.43,11,16,15,374
769,Connor Bunnaman,10.01,11.71,1.5,0.68,17,0,0,0,2,9,3,3,0.28,0.36,0.86,0,0,0,15
770,Brett Kulak,17.75,82.12,2.89,4.68,179,21,9,21,55,114,5,0,2.39,0.5,0.0,3,2,0,119
771,Garrett Pilon,9.41,1.36,0.13,0.09,3,1,0,1,2,1,1,0,0.02,0.11,0.0,0,1,0,2
772,Sammy Blais,13.46,18.4,1.96,1.56,33,4,0,2,4,16,7,2,0.6,0.8,0.56,0,0,0,25
773,Seth Jarvis,13.88,121.39,14.4,9.14,203,40,16,15,33,102,50,15,4.16,5.96,4.28,4,10,3,167
774,Lukas Reichel,13.2,13.42,1.39,1.04,23,1,0,6,7,11,8,0,0.51,0.88,0.0,0,0,0,19
775,Dawson Mercer,16.54,144.15,17.87,10.72,247,42,9,56,53,108,68,17,4.31,8.37,5.19,5,9,3,193
776,Calvin de Haan,18.96,102.88,3.8,5.9,225,8,4,18,59,143,8,1,2.67,0.88,0.25,2,2,0,152
777,Matt Roy,20.98,140.88,6.25,8.46,276,21,20,8,49,189,12,3,3.81,1.55,0.9,1,1,0,204
778,Miles Wood,14.76,4.35,0.24,0.25,8,0,0,0,4,5,1,0,0.14,0.09,0.0,0,0,0,6
779,Ryan McDonagh,22.44,88.93,5.51,5.74,180,26,5,26,24,117,10,4,2.73,1.2,1.58,1,1,2,131
780,Jake Guentzel,20.1,256.24,37.28,21.85,434,84,29,41,23,192,115,41,7.82,13.69,15.78,12,14,14,348
781,Thomas Harley,13.69,41.33,2.12,2.48,85,4,1,9,18,53,6,1,1.13,0.73,0.26,0,1,0,60
782,Remi Elie,10.95,1.39,0.11,0.1,3,0,0,0,0,1,1,0,0.02,0.09,0.0,0,0,0,2
783,Chad Ruhwedel,15.33,87.7,2.9,4.87,181,13,7,19,21,124,5,0,2.23,0.67,0.0,2,2,0,129
784,Damon Severson,23.6,151.93,10.96,9.77,312,46,10,38,63,199,14,11,4.62,1.71,4.63,5,1,5,224
785,Hunter Drew,9.86,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
786,Brad Marchand,19.25,226.23,26.52,16.02,397,80,23,40,62,208,64,34,6.7,7.65,12.16,5,9,18,306
787,Gregory Hofmann,12.51,26.87,2.89,2.11,51,7,1,7,9,19,15,2,0.62,1.85,0.43,0,2,0,36
788,Valeri Nichushkin,19.03,170.03,24.62,12.85,264,52,11,38,24,123,75,29,4.22,9.45,10.95,4,13,8,227
789,Josh Morrissey,23.66,171.29,11.57,11.83,351,37,10,26,63,225,19,7,6.36,2.0,3.21,5,4,3,251
790,Rudolfs Balcers,15.04,96.98,9.81,6.58,160,23,3,35,30,82,44,7,2.77,5.03,2.01,4,5,2,133
791,Connor Clifton,16.06,72.17,2.43,3.96,149,10,4,16,14,105,2,0,2.24,0.2,0.0,2,0,0,107
792,Andrew Copp,19.18,177.5,23.24,13.41,283,53,17,34,43,154,62,26,5.26,8.07,9.9,7,8,6,242
793,Jasper Weatherby,11.24,47.02,5.18,3.55,82,11,5,18,14,42,18,4,1.49,2.38,1.31,3,1,1,64
794,Jack Ahcan,16.03,5.36,0.22,0.37,14,1,0,1,4,8,0,0,0.22,0.0,0.0,1,0,0,8
795,Jordan Spence,19.74,40.24,1.41,2.45,99,8,4,3,11,59,1,0,1.31,0.1,0.0,2,0,0,60
796,Mattias Samuelsson,19.99,39.58,2.27,2.5,83,10,3,8,28,50,5,2,1.09,0.6,0.58,0,0,0,57
797,Michael Del Zotto,18.26,34.97,0.98,2.0,81,13,2,5,17,50,1,0,0.87,0.1,0.0,3,0,0,51
798,Victor Olofsson,15.38,157.13,16.62,10.29,293,49,15,18,18,173,35,15,6.13,4.03,6.46,7,3,10,223
799,Adam Beckman,10.41,2.83,0.05,0.14,6,1,1,1,2,4,0,0,0.05,0.0,0.0,0,0,0,4
800,Zach Senyshyn,6.53,0.75,0.01,0.03,1,0,0,0,0,1,0,0,0.01,0.0,0.0,0,0,0,1
801,Sven Baertschi,13.9,0.63,0.02,0.06,1,0,0,0,0,1,0,0,0.02,0.0,0.0,0,0,0,1
802,Brandon Montour,17.9,155.18,10.17,9.63,298,37,12,26,49,186,25,8,4.93,2.99,2.25,6,3,2,219
803,Philippe Myers,14.88,32.91,1.17,1.96,72,4,0,8,17,47,2,0,0.93,0.23,0.0,1,0,0,49
804,William Eklund,14.33,8.3,1.53,0.78,15,4,2,2,8,4,4,3,0.15,0.57,0.81,0,0,0,11
805,Laurent Dauphin,13.29,50.95,5.58,3.58,84,12,2,17,13,45,14,9,1.44,1.69,2.46,1,1,2,68
806,Radim Simek,13.28,23.46,1.71,1.53,49,2,2,10,15,28,3,3,0.69,0.28,0.73,1,0,0,34
807,Jean-Gabriel Pageau,17.67,124.46,14.21,9.57,199,39,8,30,42,101,53,15,3.6,6.08,4.53,4,7,7,169
808,Mikael Granlund,20.41,118.13,14.63,9.29,219,64,12,57,51,104,49,12,3.79,5.88,4.96,3,4,4,165
809,Noah Cates,13.25,24.51,4.0,2.01,43,9,0,10,3,13,13,6,0.49,1.51,1.99,0,3,2,32
810,Mikhail Sergachev,22.47,137.89,7.28,8.83,283,38,5,23,39,191,11,4,4.11,1.44,1.73,4,1,2,206
811,Scott Harrington,14.47,4.78,0.1,0.24,9,1,1,2,0,7,0,0,0.1,0.0,0.0,0,0,0,7
812,Nicolas Hague,18.65,112.19,4.79,6.67,239,14,12,25,23,149,12,1,3.19,1.35,0.25,3,0,1,162
813,Trevor Moore,15.69,211.3,25.12,15.24,341,48,23,30,17,188,64,33,5.81,7.85,11.46,4,5,8,285
814,Viktor Arvidsson,16.98,239.79,25.6,16.72,412,49,19,24,16,229,69,26,7.86,8.1,9.64,8,5,7,324
815,Joe Pavelski,18.47,227.33,30.73,17.94,374,81,19,35,44,186,95,31,6.1,11.83,12.8,4,10,13,312
816,Thomas Chabot,26.19,157.89,10.22,10.09,330,38,11,29,68,201,21,5,5.32,2.66,2.23,3,3,1,227
817,Sheldon Rempal,9.18,1.46,0.13,0.1,2,0,0,0,0,1,1,0,0.03,0.1,0.0,0,0,0,2
818,Jesper Bratt,17.43,194.07,19.14,13.43,324,73,17,29,46,181,64,18,5.83,7.93,5.38,8,12,6,263
819,Brady Tkachuk,18.8,282.07,33.46,23.67,461,67,23,41,68,220,117,36,7.01,14.39,12.05,6,12,12,373
820,David Kampf,15.27,97.38,12.43,7.09,168,26,5,30,25,80,42,14,2.73,5.01,4.69,4,4,3,136
821,Max Comtois,14.14,77.77,7.66,5.63,130,16,4,9,34,82,19,9,2.82,2.43,2.41,2,1,3,110
822,Santeri Hatakka,12.63,4.19,0.13,0.21,7,2,0,1,3,6,0,0,0.13,0.0,0.0,0,0,0,6
823,Brendan Smith,13.92,57.88,2.86,3.28,128,8,5,12,13,82,2,2,1.68,0.2,0.98,3,0,1,86
824,Keith Yandle,13.98,99.77,4.27,6.87,233,19,8,11,39,139,7,2,2.86,0.71,0.7,0,0,1,148
825,Vinnie Hinostroza,13.87,87.35,8.25,5.84,154,25,5,22,26,88,29,5,2.6,3.84,1.81,4,7,2,122
826,Josh Manson,18.98,86.12,4.67,4.88,172,16,5,38,43,105,14,3,2.2,1.55,0.91,4,0,2,122
827,Nick Suzuki,20.51,177.26,18.81,12.77,309,61,17,50,71,175,42,21,5.74,5.26,7.8,7,5,9,238
828,Owen Tippett,13.42,122.67,13.76,8.77,213,21,11,36,25,105,41,17,3.24,5.09,5.44,2,5,3,163
829,Alex Galchenyuk,13.15,85.02,9.69,5.93,145,21,7,18,28,84,28,10,2.72,3.3,3.67,2,1,3,122
830,Maxime Lajoie,12.54,6.99,0.37,0.37,18,0,0,0,1,9,1,0,0.23,0.14,0.0,0,0,0,10
831,Calen Addison,13.79,16.24,0.63,0.98,36,4,1,0,1,23,1,0,0.49,0.14,0.0,2,0,0,24
832,Vladislav Kolyachonok,15.85,23.97,0.91,1.35,54,3,1,12,29,33,1,0,0.82,0.09,0.0,0,1,0,34
833,Aaron Ekblad,24.92,159.67,10.72,11.4,317,57,18,43,73,199,26,8,4.88,3.22,2.61,9,4,2,233
834,Noel Acciari,11.98,34.52,4.73,2.62,52,8,2,8,6,27,11,7,1.03,1.28,2.42,1,1,1,45
835,Dmitri Samorukov,2.47,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
836,Cole Caufield,16.68,189.87,15.75,13.77,327,43,14,32,27,199,51,9,7.02,6.01,2.72,12,10,1,259
837,Zdeno Chara,18.73,74.78,3.06,4.57,172,14,5,14,45,110,2,2,2.19,0.26,0.61,2,0,0,114
838,Tyler Bozak,12.16,41.58,3.71,2.52,73,12,2,20,13,39,13,4,1.17,1.51,1.03,0,3,0,56
839,Givani Smith,8.42,48.75,4.18,3.01,83,8,2,7,8,49,9,6,1.52,1.09,1.57,2,0,2,64
840,Brett Connolly,8.4,6.49,0.6,0.44,13,1,0,2,0,7,1,1,0.25,0.13,0.23,0,0,0,9
841,Egor Sokolov,10.37,8.36,0.96,0.76,14,0,2,1,0,7,4,0,0.43,0.53,0.0,0,0,0,11
842,Max Jones,9.9,1.93,0.06,0.13,4,0,0,0,2,3,0,0,0.06,0.0,0.0,0,0,0,3
843,Tomas Hertl,19.94,212.18,29.02,16.46,364,64,17,65,31,153,91,37,5.31,11.44,12.27,5,14,11,281
844,Artem Zub,21.04,85.36,3.79,5.28,194,22,8,14,60,120,4,3,2.47,0.48,0.84,5,0,1,127
845,Jan Rutta,16.39,89.91,3.4,4.96,198,18,7,6,18,123,6,1,2.51,0.68,0.21,2,1,0,130
846,Mathieu Perreault,11.25,25.67,3.63,1.85,46,9,0,10,8,21,10,4,0.61,1.3,1.72,2,0,2,35
847,Tanner Pearson,16.05,141.2,16.43,10.52,242,34,16,22,15,136,43,18,4.81,5.18,6.43,4,5,5,197
848,Brayden Point,19.46,191.23,26.43,16.83,291,58,10,33,24,136,95,22,5.65,11.76,9.02,5,11,12,253
849,Jesper Boqvist,13.13,79.48,7.84,4.93,135,23,4,18,23,75,21,9,2.31,2.43,3.1,1,4,5,105
850,Nathan MacKinnon,21.06,279.68,28.36,20.52,501,88,24,37,56,281,76,28,9.31,8.84,10.21,15,8,9,385
851,Julien Gauthier,10.31,74.74,10.37,6.17,110,7,7,15,14,47,36,13,1.64,4.6,4.14,0,1,2,96
852,Jack Studnicka,12.6,22.21,1.74,1.77,37,3,1,3,11,26,3,1,1.01,0.39,0.34,0,0,0,30
853,Brandon Saad,16.27,147.09,20.75,11.65,236,49,14,45,25,122,56,20,4.92,7.11,8.72,6,10,8,198
854,Logan Shaw,9.38,14.57,1.41,0.88,22,3,0,11,3,14,5,1,0.43,0.74,0.24,0,1,0,20
855,Mike Hardman,9.3,14.03,1.65,1.04,25,2,1,5,5,8,10,1,0.24,1.19,0.23,0,0,0,19
856,Jamie Benn,16.75,185.23,23.58,13.53,317,46,19,37,47,158,64,28,4.97,7.66,10.95,4,7,7,250
857,Ben McCartney,14.04,2.06,0.18,0.13,4,0,0,0,0,2,1,0,0.09,0.09,0.0,0,0,0,3
858,Markus Niemelainen,13.19,10.14,0.42,0.6,26,1,0,4,10,14,1,0,0.23,0.19,0.0,0,0,0,15
859,Blake Wheeler,19.54,158.78,21.04,12.52,263,60,11,32,36,124,57,29,4.64,7.31,9.1,3,5,9,210
860,Brad Richardson,10.3,34.68,3.49,2.31,69,8,2,7,9,33,10,5,0.95,1.07,1.48,0,2,2,48
861,Ethan Bear,16.08,89.35,4.05,5.2,186,14,10,16,28,120,7,2,2.61,0.87,0.57,4,0,1,129
862,Frederik Gauthier,11.1,2.96,0.15,0.14,5,0,0,0,3,4,0,0,0.15,0.0,0.0,0,0,0,4
863,Alexander Barabanov,17.18,101.1,11.44,7.78,166,39,8,40,30,83,44,9,3.14,5.3,3.0,2,6,2,136
864,Colton Sceviour,9.47,38.18,3.07,2.4,60,5,2,9,10,37,15,1,1.06,1.76,0.25,0,2,0,53
865,Matthew Peca,9.63,2.62,0.13,0.17,8,1,0,0,2,3,1,0,0.05,0.08,0.0,0,0,0,4
866,Ian Cole,17.15,82.59,2.78,4.69,180,19,8,29,48,119,1,1,2.48,0.09,0.22,2,0,0,121
867,Cole Smith,8.84,3.28,0.26,0.31,6,0,0,3,2,4,0,0,0.26,0.0,0.0,0,0,0,4
868,Ethan Prow,12.74,1.47,0.24,0.08,3,1,0,0,2,1,0,1,0.01,0.0,0.23,0,0,1,2
869,Jeff Carter,17.67,182.18,22.52,12.95,315,45,18,33,39,164,56,25,4.89,6.96,10.67,3,9,7,245
870,Sam Bennett,16.94,216.87,27.06,16.27,398,49,14,41,49,184,82,26,6.32,10.63,10.11,7,10,11,292
871,Michael Eyssimont,5.82,0.68,0.02,0.04,1,0,0,1,0,1,0,0,0.02,0.0,0.0,0,0,0,1
872,Seth Griffith,5.62,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0,0,0,0
873,Kirby Dach,18.04,116.34,12.75,8.77,198,26,8,42,17,105,39,13,3.26,4.98,4.51,4,3,2,157
874,Nathan Beaulieu,10.77,25.32,1.02,1.53,52,4,4,0,17,35,3,0,0.69,0.32,0.0,0,0,0,38
875,Derrick Pouliot,15.5,11.72,0.49,0.65,30,4,0,3,10,15,2,0,0.27,0.23,0.0,0,0,0,17
876,Brett Pesce,21.7,143.8,5.93,8.26,304,28,14,45,29,197,8,4,4.0,0.89,1.05,5,2,0,209
877,Andreas Johnsson,14.36,108.12,12.8,7.87,179,35,9,26,24,78,56,11,2.61,6.53,3.66,3,6,4,145
878,Austin Strand,15.29,6.05,0.24,0.35,14,2,2,2,4,8,1,0,0.16,0.09,0.0,0,0,0,9
879,Lars Eller,16.12,123.35,10.79,8.41,213,31,9,37,44,126,37,7,4.35,4.66,1.78,7,6,0,170
880,Sebastian Aho,18.95,240.0,37.6,19.21,402,81,29,68,56,175,113,41,6.22,14.18,17.2,5,14,18,329
881,Brock McGinn,15.0,95.22,12.56,6.42,157,22,8,18,19,81,35,12,2.99,4.49,5.08,2,5,5,128
882,Nate Thompson,11.97,25.66,3.07,1.77,41,3,2,8,7,23,6,6,0.84,0.75,1.48,0,0,1,35
883,Brady Skjei,21.14,174.72,8.79,10.17,330,39,17,51,62,234,13,6,5.42,1.58,1.79,7,2,0,253
884,Johnny Gaudreau,18.57,253.32,27.93,18.21,463,115,19,50,81,249,74,25,8.0,8.89,11.04,10,16,14,348
885,Leo Komarov,10.83,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
886,Logan Stanley,15.64,86.07,2.98,4.93,180,13,4,13,56,125,3,0,2.61,0.37,0.0,1,0,0,128
887,Nick Bjugstad,10.26,81.37,10.12,5.96,130,13,11,18,13,68,26,13,2.37,3.39,4.36,2,2,3,107
888,Juuso Riikola,13.39,5.3,0.31,0.34,14,1,0,0,1,7,1,0,0.11,0.2,0.0,0,0,0,8
889,Tanner Kero,9.56,13.37,1.16,0.97,26,3,0,6,7,13,4,1,0.48,0.41,0.28,0,0,0,18
890,Ty Dellandrea,10.62,1.43,0.02,0.07,2,0,0,0,0,2,0,0,0.02,0.0,0.0,0,0,0,2
891,Jack McBain,14.18,15.47,1.85,1.32,24,3,6,2,5,13,7,1,0.53,1.05,0.28,1,1,0,21
892,Leon Draisaitl,22.35,291.76,42.54,21.7,482,110,21,74,88,214,124,49,7.4,14.67,20.47,7,19,29,387
893,Adam Erne,13.39,101.94,10.71,7.58,176,19,11,24,20,93,37,9,3.05,4.55,3.11,2,1,3,139
894,Jeff Petry,22.12,109.53,4.57,6.85,266,27,7,12,107,153,4,3,3.19,0.47,0.91,5,1,0,160
895,Olli Maatta,18.28,59.83,2.44,3.4,139,8,3,10,37,82,3,2,1.65,0.33,0.46,0,1,0,87
896,Martin Kaut,8.81,1.46,0.06,0.11,4,0,0,1,0,2,0,0,0.06,0.0,0.0,0,0,0,2
897,Gabriel Landeskog,20.32,141.83,21.84,12.05,251,59,14,17,29,108,59,27,3.46,7.19,11.19,7,11,12,194
898,MacKenzie Weegar,23.37,188.46,11.21,11.91,391,44,11,74,85,241,26,4,6.59,3.13,1.49,4,3,1,271
899,Reese Johnson,10.51,22.68,1.71,1.45,42,5,1,11,6,26,5,1,0.99,0.51,0.21,0,1,0,32
900,Madison Bowey,15.73,0.72,0.02,0.04,3,0,0,0,0,1,0,0,0.02,0.0,0.0,0,0,0,1
901,Colton Sissons,16.16,94.47,12.37,6.84,163,28,6,19,25,80,38,16,2.55,4.55,5.27,2,1,4,134
902,Brett Howden,10.66,41.65,6.35,3.38,69,20,7,13,14,30,23,7,1.23,2.92,2.21,3,3,3,60
903,Kieffer Bellows,11.86,79.14,6.24,5.41,147,19,6,6,26,90,14,4,3.32,1.52,1.4,4,2,0,108
904,Mikko Rantanen,20.97,260.73,30.68,19.51,459,92,19,48,49,256,76,32,8.87,8.92,12.89,8,11,17,364
905,Zack MacEwen,9.66,88.09,8.69,5.97,145,9,7,22,16,85,27,9,2.8,3.37,2.52,1,1,1,121
906,Dylan Larkin,19.66,209.22,23.52,15.46,385,69,19,38,42,189,65,27,6.15,8.24,9.13,9,12,10,281
907,Andrew Poturalski,10.14,3.73,0.33,0.24,5,2,1,0,1,3,2,0,0.15,0.17,0.0,0,0,0,5
908,Alex Vlasic,14.31,12.43,0.35,0.67,21,2,3,5,5,18,0,0,0.35,0.0,0.0,1,0,0,18
909,Joey Anderson,8.77,8.71,0.66,0.69,15,0,2,2,0,8,4,0,0.29,0.37,0.0,0,0,0,12
910,Samuel Girard,21.64,79.35,3.14,4.59,188,28,5,21,28,111,4,1,2.22,0.45,0.47,3,1,1,116
911,Sampo Ranta,10.89,9.33,0.85,0.67,20,0,0,4,1,11,2,1,0.33,0.21,0.31,0,0,0,14
912,Daniil Miromanov,9.78,13.94,0.56,0.81,32,1,1,1,2,21,0,0,0.56,0.0,0.0,0,0,0,21
913,Anton Lundell,15.74,126.59,15.84,8.71,223,44,9,59,35,112,42,17,4.66,5.26,5.93,5,7,6,171
914,Drake Batherson,18.93,110.37,11.66,8.8,189,44,11,21,30,91,53,5,3.21,6.54,1.91,6,7,4,149
915,Brayden Schenn,17.78,111.09,17.92,8.41,197,58,10,42,28,81,52,19,3.45,6.29,8.18,6,8,10,152
916,Kyle Turris,8.62,20.63,1.55,1.18,43,4,0,9,5,25,2,2,0.87,0.17,0.51,0,0,1,29
917,William Lockwood,11.34,14.82,1.75,1.01,24,0,0,1,2,10,8,2,0.33,0.88,0.55,0,0,0,20
918,Filip Forsberg,18.1,241.7,26.94,17.58,424,84,16,53,56,220,89,24,8.31,10.59,8.03,11,20,11,333
919,Gustav Forsling,21.22,132.27,7.9,7.88,296,37,5,51,53,171,18,3,4.47,2.14,1.29,6,2,2,192
920,Thomas Bordeleau,15.59,15.06,1.38,1.09,25,5,1,9,8,16,4,1,0.7,0.45,0.23,0,0,0,21
921,Carl Grundstrom,10.89,84.27,8.8,5.61,139,15,4,13,9,72,36,6,2.19,4.09,2.52,1,6,2,114
922,Shane Pinto,12.95,8.12,0.95,0.78,15,1,0,2,5,4,7,0,0.18,0.77,0.0,0,0,0,11
923,David Perron,16.99,166.23,18.36,11.77,319,57,17,37,18,165,52,14,5.7,6.0,6.67,11,7,9,231
924,Oliver Wahlstrom,12.06,154.9,16.1,11.18,276,24,10,19,20,160,37,18,5.33,4.43,6.34,6,1,6,215
925,Kole Lind,11.83,28.25,2.67,1.82,47,8,3,7,3,26,12,1,0.83,1.43,0.41,1,1,0,39
926,Patric Hornqvist,12.69,152.49,16.54,12.64,240,28,26,24,14,127,57,20,3.79,6.64,6.11,5,3,3,204
927,Emil Bemstrom,10.52,60.68,5.37,4.19,105,11,4,11,5,64,15,5,1.91,1.89,1.57,2,1,3,84
928,Slater Koekkoek,11.17,13.03,0.31,0.66,26,4,1,1,1,19,0,0,0.31,0.0,0.0,0,0,0,19
